,Unnamed: 0,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
2127,Oligodendrocyte Precursor Cells,0.029356949,0.011808717,0.994,0.006,0.006,0.0015,True,Meg3
2,Neural Stem Cells,0.02911705,0.020605747,0.913,0.087,0.087,0.059,False,Tubb2b
3,Astrocytes,0.029030269,0.018986965,0.933,0.067,0.067,0.0345,True,Fam107a
0,Endocrine Cells,0.0288326,0.028000446,0.843,0.157,0.157,0.157,False,Id2
1021,Endocrine Cells,0.028816976,0.028317243,0.838,0.162,0.162,0.081,False,Epas1
3336,Endocrine Cells,0.028684167,0.027981143,0.841,0.159,0.159,0.159,False,Sema6a
1153,Endocrine Cells,0.028458746,0.028032728,0.837,0.163,0.163,0.1385,False,Fcgrt
2700,Endocrine Cells,0.028344754,0.027977943,0.836,0.164,0.164,0.164,False,Pdgfra
1262,Endocrine Cells,0.027828487,0.028083306,0.83,0.17,0.17,0.0936666666666666,False,Fstl1
360,Oligodendrocytes,0.027682101,0.009345536,0.999,0.001,0.001,0.001,True,B2m
1,Endocrine Cells,0.027579179,0.028155575,0.825,0.175,0.175,0.137,False,Notch2
2265,Endothelial Cells,0.027473697,0.028985422,0.83,0.17,0.17,0.0423,True,Mt2
2,Endocrine Cells,0.027437387,0.027900424,0.827,0.173,0.173,0.1399999999999999,False,Fgfr2
4,Endocrine Cells,0.027330713,0.027991323,0.824,0.176,0.176,0.0942,False,Sox9
1,Excitatory Neurons,0.026613278,0.01333703,0.978,0.022,0.022,0.0195,True,Arc
7,Microglia,0.026585681,0.01929101,0.914,0.086,0.086,0.0134999999999999,True,Mt2
1249,Neural Stem Cells,0.026448594,0.020576218,0.896,0.104,0.104,0.079,False,Fscn1
2148,Oligodendrocyte Precursor Cells,0.026345732,0.011549596,0.99,0.01,0.01,0.01,True,Mertk
2176,Endocrine Cells,0.026330704,0.027938353,0.817,0.183,0.183,0.089,False,Mlc1
1,Endocrine Cells,0.026113639,0.02800369,0.815,0.185,0.185,0.1629999999999999,False,Adarb1
6,Endothelial Cells,0.025960853,0.028457832,0.821,0.179,0.179,0.0654285714285714,False,Fam107a
1982,Endocrine Cells,0.025904482,0.028139567,0.814,0.186,0.186,0.1273333333333333,False,Lima1
183,Oligodendrocyte Precursor Cells,0.025770372,0.011801012,0.987,0.013,0.013,0.0067499999999999,True,Aldoa
2,Endothelial Cells,0.025620472,0.029379422,0.807,0.193,0.193,0.0936666666666666,False,Slc2a1
0,Neurons,0.025447976,0.013010372,0.976,0.024,0.024,0.024,True,Slc32a1
1287,Endocrine Cells,0.025428882,0.027841583,0.812,0.188,0.188,0.1352499999999999,False,Gad1
1514,Oligodendrocytes,0.025162838,0.009949702,0.994,0.006,0.006,0.0026666666666666,True,H2-D1
601,Neural Stem Cells,0.024524124,0.020814324,0.874,0.126,0.126,0.1125,False,Cemip2
3881,Endothelial Cells,0.024331426,0.029879062,0.785,0.215,0.215,0.0833333333333333,False,Tsc22d3
1129,Oligodendrocyte Precursor Cells,0.024085525,0.011842614,0.984,0.016,0.016,0.008,True,Fam107a
878,Endocrine Cells,0.023950202,0.02795664,0.805,0.195,0.195,0.1253333333333333,False,Ddah1
1826,Neural Stem Cells,0.023780635,0.020319087,0.874,0.126,0.126,0.0723333333333333,False,Jun
3039,Oligodendrocyte Precursor Cells,0.023344323,0.011774086,0.983,0.017,0.017,0.0045,True,Ptgds
2,Endocrine Cells,0.023313649,0.028265938,0.801,0.199,0.199,0.0983333333333333,False,Capn2
0,Oligodendrocyte Precursor Cells,0.023229266,0.012070225,0.982,0.018,0.018,0.018,True,Gpr17
2,Endocrine Cells,0.023172406,0.028001312,0.801,0.199,0.199,0.1006666666666666,False,Kif1c
1273,Endocrine Cells,0.022973856,0.027901592,0.8,0.2,0.2,0.1635,False,Gab1
0,Neurons,0.022911824,0.01323084,0.959,0.041,0.041,0.041,True,Gad2
1,Oligodendrocytes,0.022784157,0.009613968,0.99,0.01,0.01,0.0055,True,Atf4
2,Neurons,0.022740068,0.012927422,0.96,0.04,0.04,0.0133333333333333,True,Selenop
288,Oligodendrocyte Precursor Cells,0.02271905,0.01155648,0.983,0.017,0.017,0.017,True,Arc
2,Neurons,0.022706475,0.0132703185,0.957,0.043,0.043,0.0159999999999999,True,Car2
195,Neurons,0.022575887,0.01230424,0.964,0.036,0.036,0.01475,True,Aldoc
4057,Neural Stem Cells,0.022567764,0.020635715,0.86,0.14,0.14,0.1315,False,Zeb2
3498,Endocrine Cells,0.021873467,0.02782694,0.79,0.21,0.21,0.088,False,Slc1a3
184,Neurons,0.021606863,0.011550072,0.969,0.031,0.031,0.0116,True,Aldoa
3306,Astrocytes,0.021420754,0.01824539,0.881,0.119,0.119,0.0594285714285714,False,Selenop
1,Oligodendrocyte Precursor Cells,0.021183992,0.011571835,0.97,0.03,0.03,0.027,True,Slc32a1
3132,Oligodendrocyte Precursor Cells,0.021154085,0.011840167,0.964,0.036,0.036,0.036,True,Rgcc
0,Oligodendrocyte Precursor Cells,0.021136291,0.011817679,0.964,0.036,0.036,0.036,True,Mmp15
3398,Oligodendrocyte Precursor Cells,0.021129977,0.011632438,0.97,0.03,0.03,0.0103333333333333,True,Sgk1
2,Endocrine Cells,0.021098483,0.02805477,0.774,0.226,0.226,0.1796666666666666,False,Mylk
2,Endocrine Cells,0.021059794,0.027900996,0.774,0.226,0.226,0.133,False,Gjb2
0,Medium Spiny Neurons,0.02105489,0.009569108,0.978,0.022,0.022,0.022,True,Pdyn
2160,Oligodendrocyte Precursor Cells,0.020720325,0.011694718,0.964,0.036,0.036,0.036,True,Mfsd2a
2761,Oligodendrocytes,0.020679101,0.00980523,0.979,0.021,0.021,0.0105,True,Plin4
5,Neural Stem Cells,0.020581733,0.020752002,0.835,0.165,0.165,0.0485,True,Ptgds
1130,Neurons,0.020559866,0.012805074,0.945,0.055,0.055,0.0236666666666666,True,Fam107a
2,Astrocytes,0.020000447,0.017103424,0.879,0.121,0.121,0.0813333333333333,False,Etnppl
2,Oligodendrocyte Precursor Cells,0.019962005,0.011618457,0.961,0.039,0.039,0.0196666666666666,True,Tsc22d3
471,Oligodendrocyte Precursor Cells,0.019832943,0.011800365,0.956,0.044,0.044,0.023,True,Car2
1,Oligodendrocytes,0.019628054,0.010152699,0.97,0.03,0.03,0.022,True,Atf5
1,Neural Stem Cells,0.019383186,0.021235926,0.812,0.188,0.188,0.112,False,Rgcc
3408,Oligodendrocyte Precursor Cells,0.019283623,0.011894006,0.952,0.048,0.048,0.048,True,Sh3bp4
2,Neural Stem Cells,0.019281905,0.019587295,0.834,0.166,0.166,0.0906666666666666,False,Ccnd2
2,Neural Stem Cells,0.019197306,0.021227343,0.81,0.19,0.19,0.1006666666666666,False,Cryab
7,Endothelial Cells,0.01917131,0.02772744,0.755,0.245,0.245,0.090375,False,Ptgds
4,Oligodendrocyte Precursor Cells,0.019083424,0.011815624,0.951,0.049,0.049,0.0216,True,Aldoc
889,Oligodendrocyte Precursor Cells,0.019071847,0.011696532,0.952,0.048,0.048,0.043,True,Ddit4
5,Astrocytes,0.019062059,0.01663646,0.873,0.127,0.127,0.0281666666666666,True,Meg3
3984,Oligodendrocyte Precursor Cells,0.019017957,0.011685431,0.952,0.048,0.048,0.048,True,Vegfa
3,Oligodendrocyte Precursor Cells,0.018992204,0.011833286,0.948,0.052,0.052,0.03825,True,Plpp3
3,Endocrine Cells,0.018792951,0.027998315,0.754,0.246,0.246,0.106,False,Ccp110
3600,Oligodendrocyte Precursor Cells,0.018756578,0.011738486,0.948,0.052,0.052,0.052,False,Sox21
1106,Endocrine Cells,0.018751428,0.027911143,0.754,0.246,0.246,0.1866666666666666,False,F3
1,Neural Stem Cells,0.018718513,0.021163123,0.804,0.196,0.196,0.1935,False,Nhsl1
1,Oligodendrocyte Precursor Cells,0.0185577,0.011636814,0.947,0.053,0.053,0.045,True,Tubb2b
1392,Oligodendrocyte Precursor Cells,0.01852453,0.0117247235,0.946,0.054,0.054,0.054,False,Gnal
1289,Neural Stem Cells,0.01847262,0.021044666,0.803,0.197,0.197,0.1558333333333333,False,Gad1
1297,Oligodendrocyte Precursor Cells,0.01835031,0.011471132,0.948,0.052,0.052,0.0465,True,Gad2
0,Oligodendrocyte Precursor Cells,0.018345917,0.0114893215,0.947,0.053,0.053,0.053,False,Igsf11
1371,Astrocytes,0.018312888,0.01775994,0.847,0.153,0.153,0.0965,False,Gjb6
2522,Neurons,0.018169064,0.012399845,0.935,0.065,0.065,0.0313333333333333,True,Nsmf
782,Endocrine Cells,0.018147197,0.02782354,0.748,0.252,0.252,0.154,False,Cspg5
3,Neurons,0.018109418,0.0128873605,0.923,0.077,0.077,0.03175,True,Slc1a3
3,Oligodendrocyte Precursor Cells,0.018088134,0.01165884,0.942,0.058,0.058,0.0165,True,H2-D1
3,Endocrine Cells,0.018067505,0.027926378,0.745,0.255,0.255,0.15825,False,Ptch1
7,Medium Spiny Neurons,0.018033812,0.009534327,0.961,0.039,0.039,0.0101249999999999,True,Gfap
1932,Oligodendrocyte Precursor Cells,0.018031957,0.011660884,0.941,0.059,0.059,0.059,False,Lamc1
2,Oligodendrocyte Precursor Cells,0.017892838,0.011792437,0.939,0.061,0.061,0.052,False,Cd9
2545,Oligodendrocyte Precursor Cells,0.017869137,0.011818506,0.939,0.061,0.061,0.0414999999999999,True,Ntsr2
1,Oligodendrocyte Precursor Cells,0.017859422,0.011482555,0.942,0.058,0.058,0.029,True,Gstp1
0,Oligodendrocyte Precursor Cells,0.017790467,0.011511051,0.941,0.059,0.059,0.059,False,Map7
2835,Endocrine Cells,0.017778322,0.027941242,0.744,0.256,0.256,0.211,False,Plxdc2
1,Excitatory Neurons,0.01775406,0.013212593,0.902,0.098,0.098,0.081,False,Egr1
1348,Neurons,0.017668221,0.013259393,0.912,0.088,0.088,0.0518,False,Gja1
1,Oligodendrocyte Precursor Cells,0.017610222,0.011758012,0.935,0.065,0.065,0.0365,True,Ahi1
1,Oligodendrocyte Precursor Cells,0.017486041,0.011238635,0.942,0.058,0.058,0.029,True,Nmu
362,Oligodendrocyte Precursor Cells,0.017475981,0.011832267,0.931,0.069,0.069,0.034,True,B2m
7,Excitatory Neurons,0.017462034,0.017049462,0.847,0.153,0.153,0.0426249999999999,True,Aldoa
3,Endocrine Cells,0.017286839,0.027768716,0.741,0.259,0.259,0.15825,False,Zic1
2,Oligodendrocyte Precursor Cells,0.017239658,0.011497879,0.936,0.064,0.064,0.0286666666666666,True,Meis2
4,Endocrine Cells,0.017206077,0.027921386,0.74,0.26,0.26,0.1824,False,Zeb2
2139,Neurons,0.01719413,0.013692459,0.899,0.101,0.101,0.04675,True,Meis2
984,Oligodendrocyte Precursor Cells,0.017167138,0.011433556,0.936,0.064,0.064,0.064,False,Egr1
2128,Oligodendrocytes,0.017149381,0.009703467,0.964,0.036,0.036,0.0084,True,Meg3
2568,Oligodendrocytes,0.017145786,0.0090568205,0.97,0.03,0.03,0.03,True,Olig2
1417,Oligodendrocyte Precursor Cells,0.017033013,0.0115364725,0.931,0.069,0.069,0.068,False,Gpam
364,Neurons,0.017020348,0.013530101,0.9,0.1,0.1,0.0552,False,B2m
3,Oligodendrocyte Precursor Cells,0.016968686,0.011468463,0.931,0.069,0.069,0.02825,True,Cldn10
3889,Oligodendrocyte Precursor Cells,0.016947543,0.011611778,0.93,0.07,0.07,0.0555,False,Tsc22d4
1,Oligodendrocyte Precursor Cells,0.016930785,0.011430119,0.931,0.069,0.069,0.0615,False,Etnppl
1192,Endocrine Cells,0.016930673,0.028196706,0.734,0.266,0.266,0.1712,False,Flna
4371,Astrocytes,0.016921235,0.016409522,0.847,0.153,0.153,0.1134999999999999,False,Serpina3n
3,Neurons,0.016899632,0.013424455,0.9,0.1,0.1,0.03975,True,Tsc22d3
1647,Endocrine Cells,0.016817937,0.028268551,0.733,0.267,0.267,0.165,False,Igf1r
3,Neural Stem Cells,0.016776191,0.021148162,0.777,0.223,0.223,0.0935,False,Gpc4
