group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age,source_file
Neural Stem Cells,0.0075929784,0.018323602,0.66,0.34,0.34,0.2553749999999999,False,Serpina3n,21,Serpina3n_casecontrol.csv
Endocrine Cells,0.009885873,0.031070672,0.635,0.365,0.365,0.2675555555555555,False,Serpina3n,21,Serpina3n_casecontrol.csv
Endothelial Cells,-0.006396768,0.031248294,0.421,0.579,0.421,0.2828999999999999,False,Serpina3n,21,Serpina3n_casecontrol.csv
Microglia,9.34684e-05,0.017989423,0.49,0.51,0.49,0.3017272727272726,False,Serpina3n,21,Serpina3n_casecontrol.csv
GABAergic Neurons,-0.0015774562,0.01894877,0.491,0.509,0.491,0.3174999999999999,False,Serpina3n,21,Serpina3n_casecontrol.csv
Myocytes,0.06856764,0.024994083,0.998,0.002,0.002,0.002,True,Abi1,21,Abi1_casecontrol.csv
Medium Spiny Neurons,-0.014244546,0.011688599,0.105,0.895,0.105,0.0535,False,Abi1,21,Abi1_casecontrol.csv
Oligodendrocyte Precursor Cells,0.010779774,0.011863623,0.815,0.185,0.185,0.0973333333333333,False,Abi1,21,Abi1_casecontrol.csv
Neurons,0.011456719,0.013820441,0.796,0.204,0.204,0.124,False,Abi1,21,Abi1_casecontrol.csv
Endocrine Cells,0.0154702235,0.03142581,0.699,0.301,0.301,0.1594,False,Abi1,21,Abi1_casecontrol.csv
Excitatory Neurons,0.0065870564,0.0128168715,0.699,0.301,0.301,0.1829999999999999,False,Abi1,21,Abi1_casecontrol.csv
Neural Stem Cells,0.008643459,0.017877959,0.685,0.315,0.315,0.2018571428571428,False,Abi1,21,Abi1_casecontrol.csv
Astrocytes,0.0042983238,0.016585305,0.63,0.37,0.37,0.222875,False,Abi1,21,Abi1_casecontrol.csv
Endothelial Cells,-0.0075753224,0.03085401,0.405,0.595,0.405,0.243111111111111,False,Abi1,21,Abi1_casecontrol.csv
Microglia,-0.00077520043,0.018334212,0.47,0.53,0.47,0.2657999999999999,False,Abi1,21,Abi1_casecontrol.csv
Oligodendrocytes,0.00062119355,0.010430308,0.528,0.472,0.472,0.2845454545454545,False,Abi1,21,Abi1_casecontrol.csv
GABAergic Neurons,-0.00097363757,0.01950839,0.502,0.498,0.498,0.3023333333333333,False,Abi1,21,Abi1_casecontrol.csv
Myocytes,-0.073122405,0.024966419,0.0,1.0,0.0,0.0,True,Atf4,21,Atf4_casecontrol.csv
Oligodendrocytes,0.020136187,0.010146749,0.971,0.029,0.029,0.0145,True,Atf4,21,Atf4_casecontrol.csv
Medium Spiny Neurons,-0.016853232,0.012108791,0.074,0.926,0.074,0.0343333333333333,True,Atf4,21,Atf4_casecontrol.csv
Oligodendrocyte Precursor Cells,0.01424015,0.011913329,0.886,0.114,0.114,0.05425,False,Atf4,21,Atf4_casecontrol.csv
Endocrine Cells,-0.031093262,0.03164076,0.154,0.846,0.154,0.0742,False,Atf4,21,Atf4_casecontrol.csv
Neurons,0.008377478,0.013524679,0.73,0.27,0.27,0.1068333333333333,False,Atf4,21,Atf4_casecontrol.csv
Neural Stem Cells,0.006948102,0.01763219,0.651,0.349,0.349,0.1414285714285714,False,Atf4,21,Atf4_casecontrol.csv
GABAergic Neurons,-0.0062082107,0.020609966,0.388,0.612,0.388,0.17225,False,Atf4,21,Atf4_casecontrol.csv
Astrocytes,0.0033838756,0.016406009,0.604,0.396,0.396,0.1971111111111111,False,Atf4,21,Atf4_casecontrol.csv
Endothelial Cells,-0.005202037,0.030832615,0.436,0.564,0.436,0.221,False,Atf4,21,Atf4_casecontrol.csv
Microglia,-0.0022050247,0.018349634,0.441,0.559,0.441,0.241,False,Atf4,21,Atf4_casecontrol.csv
Excitatory Neurons,0.00075759477,0.012973428,0.528,0.472,0.472,0.26025,False,Atf4,21,Atf4_casecontrol.csv
Medium Spiny Neurons,-0.013509872,0.012366356,0.13,0.87,0.13,0.13,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012543635,0.011535632,0.859,0.141,0.141,0.1355,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Neurons,0.009158991,0.01420584,0.739,0.261,0.261,0.1773333333333333,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Neural Stem Cells,0.0088893045,0.018360257,0.685,0.315,0.315,0.21175,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Excitatory Neurons,0.004568522,0.01228359,0.642,0.358,0.358,0.241,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Myocytes,0.008710818,0.024660788,0.632,0.368,0.368,0.2621666666666666,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Endothelial Cells,-0.008782149,0.03127261,0.395,0.605,0.395,0.2811428571428571,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Endocrine Cells,0.006508401,0.031060683,0.592,0.408,0.408,0.297,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Astrocytes,0.0024364002,0.015985988,0.581,0.419,0.419,0.3105555555555555,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Oligodendrocytes,-0.0014756477,0.010712397,0.461,0.539,0.461,0.3256,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
GABAergic Neurons,-0.0023795764,0.018902857,0.472,0.528,0.472,0.3389090909090909,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Microglia,0.0021026311,0.018168908,0.528,0.472,0.472,0.3499999999999999,False,Bcl2a1a,21,Bcl2a1a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.01256642,0.011590958,0.858,0.142,0.142,0.142,False,Adrb1,21,Adrb1_casecontrol.csv
Medium Spiny Neurons,-0.01169006,0.012278261,0.169,0.831,0.169,0.1555,False,Adrb1,21,Adrb1_casecontrol.csv
Neurons,0.010529131,0.014125968,0.77,0.23,0.23,0.1803333333333333,False,Adrb1,21,Adrb1_casecontrol.csv
Myocytes,0.014594471,0.024691036,0.709,0.291,0.291,0.208,False,Adrb1,21,Adrb1_casecontrol.csv
Excitatory Neurons,0.0058931303,0.012434615,0.676,0.324,0.324,0.2312,False,Adrb1,21,Adrb1_casecontrol.csv
Neural Stem Cells,0.0070581078,0.018349992,0.651,0.349,0.349,0.2508333333333333,False,Adrb1,21,Adrb1_casecontrol.csv
Endocrine Cells,0.007819036,0.031073682,0.607,0.393,0.393,0.2711428571428572,False,Adrb1,21,Adrb1_casecontrol.csv
Endothelial Cells,-0.007995312,0.03125239,0.401,0.599,0.401,0.287375,False,Adrb1,21,Adrb1_casecontrol.csv
Microglia,0.0039400216,0.018132323,0.575,0.425,0.425,0.3026666666666667,False,Adrb1,21,Adrb1_casecontrol.csv
Oligodendrocytes,-0.0016311645,0.0106980475,0.455,0.545,0.455,0.3179,False,Adrb1,21,Adrb1_casecontrol.csv
Astrocytes,0.000820826,0.016079059,0.543,0.457,0.457,0.3305454545454545,False,Adrb1,21,Adrb1_casecontrol.csv
GABAergic Neurons,-0.0016174482,0.019030053,0.491,0.509,0.491,0.3439166666666666,False,Adrb1,21,Adrb1_casecontrol.csv
Oligodendrocyte Precursor Cells,0.013520599,0.011579201,0.882,0.118,0.118,0.118,False,Gpnmb,21,Gpnmb_casecontrol.csv
Medium Spiny Neurons,-0.013580617,0.012368987,0.128,0.872,0.128,0.123,False,Gpnmb,21,Gpnmb_casecontrol.csv
Neurons,0.008930988,0.014207757,0.732,0.268,0.268,0.1713333333333333,False,Gpnmb,21,Gpnmb_casecontrol.csv
Neural Stem Cells,0.008407741,0.018364908,0.676,0.324,0.324,0.2095,False,Gpnmb,21,Gpnmb_casecontrol.csv
Excitatory Neurons,0.0047261054,0.012287208,0.65,0.35,0.35,0.2376,False,Gpnmb,21,Gpnmb_casecontrol.csv
Myocytes,0.008238856,0.024661599,0.63,0.37,0.37,0.2596666666666667,False,Gpnmb,21,Gpnmb_casecontrol.csv
Endothelial Cells,-0.008134254,0.031276587,0.401,0.599,0.401,0.2798571428571429,False,Gpnmb,21,Gpnmb_casecontrol.csv
Endocrine Cells,0.00702974,0.031060347,0.598,0.402,0.402,0.295125,False,Gpnmb,21,Gpnmb_casecontrol.csv
Astrocytes,0.0027470435,0.016001351,0.59,0.41,0.41,0.3078888888888889,False,Gpnmb,21,Gpnmb_casecontrol.csv
Microglia,-0.0012530859,0.017958453,0.462,0.538,0.462,0.3233,False,Gpnmb,21,Gpnmb_casecontrol.csv
Oligodendrocytes,-0.0009968763,0.0107134385,0.474,0.526,0.474,0.3370000000000001,False,Gpnmb,21,Gpnmb_casecontrol.csv
GABAergic Neurons,-0.0022070417,0.018913032,0.476,0.524,0.476,0.3485833333333334,False,Gpnmb,21,Gpnmb_casecontrol.csv
Myocytes,0.04007546,0.024851233,0.946,0.054,0.054,0.054,False,Arhgap31,21,Arhgap31_casecontrol.csv
Oligodendrocyte Precursor Cells,0.013410904,0.011900794,0.873,0.127,0.127,0.0905,False,Arhgap31,21,Arhgap31_casecontrol.csv
Medium Spiny Neurons,-0.013430119,0.012346453,0.132,0.868,0.132,0.1043333333333333,False,Arhgap31,21,Arhgap31_casecontrol.csv
Neural Stem Cells,0.013540432,0.018245427,0.763,0.237,0.237,0.1375,False,Arhgap31,21,Arhgap31_casecontrol.csv
Neurons,0.0090408735,0.014197924,0.735,0.265,0.265,0.163,False,Arhgap31,21,Arhgap31_casecontrol.csv
Excitatory Neurons,0.0043497244,0.012298666,0.638,0.362,0.362,0.1961666666666666,False,Arhgap31,21,Arhgap31_casecontrol.csv
Astrocytes,0.0030131568,0.016042957,0.598,0.402,0.402,0.2255714285714286,False,Arhgap31,21,Arhgap31_casecontrol.csv
Microglia,-0.0030136083,0.018006252,0.425,0.575,0.425,0.2505,False,Arhgap31,21,Arhgap31_casecontrol.csv
Endothelial Cells,-0.005332866,0.030916564,0.435,0.565,0.435,0.271,False,Arhgap31,21,Arhgap31_casecontrol.csv
Endocrine Cells,0.0045872256,0.031072997,0.561,0.439,0.439,0.2878,False,Arhgap31,21,Arhgap31_casecontrol.csv
GABAergic Neurons,-0.0021694812,0.018925635,0.476,0.524,0.476,0.3049090909090909,False,Arhgap31,21,Arhgap31_casecontrol.csv
Oligodendrocytes,-0.00076263386,0.010650012,0.482,0.518,0.482,0.3196666666666667,False,Arhgap31,21,Arhgap31_casecontrol.csv
Medium Spiny Neurons,-0.013800461,0.012367151,0.127,0.873,0.127,0.127,False,Abcb1b,21,Abcb1b_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012726437,0.011557923,0.865,0.135,0.135,0.131,False,Abcb1b,21,Abcb1b_casecontrol.csv
Neurons,0.008820427,0.014203807,0.731,0.269,0.269,0.177,False,Abcb1b,21,Abcb1b_casecontrol.csv
Neural Stem Cells,0.009592095,0.018333994,0.695,0.305,0.305,0.209,False,Abcb1b,21,Abcb1b_casecontrol.csv
Excitatory Neurons,0.004397906,0.012292122,0.639,0.361,0.361,0.2394,False,Abcb1b,21,Abcb1b_casecontrol.csv
Endocrine Cells,0.0077803144,0.031071953,0.605,0.395,0.395,0.2653333333333333,False,Abcb1b,21,Abcb1b_casecontrol.csv
Endothelial Cells,-0.008064016,0.031274352,0.401,0.599,0.401,0.2847142857142857,False,Abcb1b,21,Abcb1b_casecontrol.csv
Astrocytes,0.002360892,0.015992977,0.579,0.421,0.421,0.30175,False,Abcb1b,21,Abcb1b_casecontrol.csv
Microglia,-0.0030208624,0.017962782,0.424,0.576,0.424,0.3153333333333333,False,Abcb1b,21,Abcb1b_casecontrol.csv
Oligodendrocytes,-0.0018201149,0.0107147135,0.448,0.552,0.448,0.3286,False,Abcb1b,21,Abcb1b_casecontrol.csv
Myocytes,0.001927629,0.0246718,0.545,0.455,0.455,0.3400909090909091,False,Abcb1b,21,Abcb1b_casecontrol.csv
GABAergic Neurons,-0.0021422924,0.018911008,0.476,0.524,0.476,0.3514166666666667,False,Abcb1b,21,Abcb1b_casecontrol.csv
Endocrine Cells,0.052440092,0.03146877,0.951,0.049,0.049,0.049,True,Pltp,21,Pltp_casecontrol.csv
Oligodendrocyte Precursor Cells,0.0073769614,0.011816265,0.733,0.267,0.267,0.158,False,Pltp,21,Pltp_casecontrol.csv
Neurons,0.008534574,0.01408147,0.728,0.272,0.272,0.196,False,Pltp,21,Pltp_casecontrol.csv
Myocytes,0.013204533,0.024939464,0.692,0.308,0.308,0.224,False,Pltp,21,Pltp_casecontrol.csv
Excitatory Neurons,0.0045653987,0.01235361,0.642,0.358,0.358,0.2508,False,Pltp,21,Pltp_casecontrol.csv
Medium Spiny Neurons,-0.00466356,0.0120631335,0.362,0.638,0.362,0.2693333333333333,False,Pltp,21,Pltp_casecontrol.csv
Neural Stem Cells,0.0051059793,0.017024564,0.627,0.373,0.373,0.2841428571428571,False,Pltp,21,Pltp_casecontrol.csv
Microglia,-0.0045686187,0.018114105,0.395,0.605,0.395,0.298,False,Pltp,21,Pltp_casecontrol.csv
Endothelial Cells,-0.006822943,0.02546749,0.399,0.601,0.399,0.3092222222222223,False,Pltp,21,Pltp_casecontrol.csv
Oligodendrocytes,-0.002080677,0.010566096,0.441,0.559,0.441,0.3224,False,Pltp,21,Pltp_casecontrol.csv
Astrocytes,0.0011987733,0.017299661,0.549,0.451,0.451,0.3340909090909091,False,Pltp,21,Pltp_casecontrol.csv
GABAergic Neurons,-0.0029996964,0.019067694,0.452,0.548,0.452,0.3439166666666667,False,Pltp,21,Pltp_casecontrol.csv
Endocrine Cells,-1.5367612,0.032148495,0.0,1.0,0.0,0.0,True,Gh,21,Gh_casecontrol.csv
Myocytes,-0.67262375,0.025231073,0.0,1.0,0.0,0.0,True,Gh,21,Gh_casecontrol.csv
Neural Stem Cells,-0.050942805,0.018243868,0.003,0.997,0.003,0.001,True,Gh,21,Gh_casecontrol.csv
Endothelial Cells,-0.045499004,0.03125099,0.07,0.93,0.07,0.01825,True,Gh,21,Gh_casecontrol.csv
Astrocytes,-0.018543726,0.015987366,0.121,0.879,0.121,0.0388,True,Gh,21,Gh_casecontrol.csv
Medium Spiny Neurons,-0.013865791,0.01238066,0.127,0.873,0.127,0.0535,False,Gh,21,Gh_casecontrol.csv
Neurons,-0.01522823,0.014180299,0.142,0.858,0.142,0.0661428571428571,False,Gh,21,Gh_casecontrol.csv
Oligodendrocytes,-0.008296603,0.01066946,0.214,0.786,0.214,0.0846249999999999,False,Gh,21,Gh_casecontrol.csv
Microglia,-0.009357505,0.017915916,0.311,0.689,0.311,0.1097777777777777,False,Gh,21,Gh_casecontrol.csv
GABAergic Neurons,-0.005689985,0.018916644,0.388,0.612,0.388,0.1376,False,Gh,21,Gh_casecontrol.csv
Oligodendrocyte Precursor Cells,0.0016876659,0.011590958,0.559,0.441,0.441,0.1651818181818181,False,Gh,21,Gh_casecontrol.csv
Excitatory Neurons,0.0013520123,0.012296217,0.543,0.457,0.457,0.1895,False,Gh,21,Gh_casecontrol.csv
Myocytes,0.03440309,0.024865419,0.913,0.087,0.087,0.087,False,Adcy2,21,Adcy2_casecontrol.csv
Medium Spiny Neurons,-0.012794852,0.01233592,0.144,0.856,0.144,0.1154999999999999,False,Adcy2,21,Adcy2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.011391795,0.011658487,0.832,0.168,0.168,0.133,False,Adcy2,21,Adcy2_casecontrol.csv
Neural Stem Cells,0.011168637,0.01816832,0.727,0.273,0.273,0.168,False,Adcy2,21,Adcy2_casecontrol.csv
Neurons,0.0076073008,0.014061558,0.707,0.293,0.293,0.193,False,Adcy2,21,Adcy2_casecontrol.csv
Excitatory Neurons,0.0045674923,0.012613557,0.639,0.361,0.361,0.221,False,Adcy2,21,Adcy2_casecontrol.csv
Endothelial Cells,-0.0075148013,0.031175947,0.407,0.593,0.407,0.2475714285714285,False,Adcy2,21,Adcy2_casecontrol.csv
Microglia,-0.0034495876,0.017994575,0.42,0.58,0.42,0.269125,False,Adcy2,21,Adcy2_casecontrol.csv
Endocrine Cells,-0.0059479834,0.03108054,0.426,0.574,0.426,0.2865555555555555,False,Adcy2,21,Adcy2_casecontrol.csv
Astrocytes,0.001908102,0.016218882,0.563,0.437,0.437,0.3016,False,Adcy2,21,Adcy2_casecontrol.csv
Oligodendrocytes,-0.0018209656,0.010666331,0.448,0.552,0.448,0.3149090909090909,False,Adcy2,21,Adcy2_casecontrol.csv
GABAergic Neurons,0.00025658958,0.019249301,0.524,0.476,0.476,0.3283333333333333,False,Adcy2,21,Adcy2_casecontrol.csv
Medium Spiny Neurons,-0.0154614765,0.012358232,0.097,0.903,0.097,0.097,False,Ace,21,Ace_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012918769,0.011560945,0.871,0.129,0.129,0.113,False,Ace,21,Ace_casecontrol.csv
Neurons,0.008393442,0.0141850915,0.724,0.276,0.276,0.1673333333333333,False,Ace,21,Ace_casecontrol.csv
Neural Stem Cells,0.008748818,0.018333267,0.681,0.319,0.319,0.20525,False,Ace,21,Ace_casecontrol.csv
Endothelial Cells,-0.013333753,0.030994313,0.335,0.665,0.335,0.2312,False,Ace,21,Ace_casecontrol.csv
Endocrine Cells,0.01095209,0.031095156,0.645,0.355,0.355,0.2518333333333333,False,Ace,21,Ace_casecontrol.csv
Excitatory Neurons,0.004546163,0.012287559,0.642,0.358,0.358,0.2669999999999999,False,Ace,21,Ace_casecontrol.csv
Astrocytes,0.0028131972,0.016025074,0.592,0.408,0.408,0.2846249999999999,False,Ace,21,Ace_casecontrol.csv
Microglia,-0.002921159,0.017939877,0.425,0.575,0.425,0.3002222222222221,False,Ace,21,Ace_casecontrol.csv
Oligodendrocytes,-0.0019434515,0.010713209,0.446,0.554,0.446,0.3147999999999999,False,Ace,21,Ace_casecontrol.csv
Myocytes,0.0014533843,0.024671327,0.539,0.461,0.461,0.328090909090909,False,Ace,21,Ace_casecontrol.csv
GABAergic Neurons,-0.0021088338,0.018922633,0.477,0.523,0.477,0.3404999999999999,False,Ace,21,Ace_casecontrol.csv
Myocytes,0.10925415,0.025161974,1.0,0.0,0.0,0.0,True,Slc1a3,21,Slc1a3_casecontrol.csv
Oligodendrocyte Precursor Cells,0.016386952,0.011958785,0.912,0.088,0.088,0.044,True,Slc1a3,21,Slc1a3_casecontrol.csv
Medium Spiny Neurons,-0.011245452,0.011461317,0.161,0.839,0.161,0.083,False,Slc1a3,21,Slc1a3_casecontrol.csv
Endocrine Cells,0.027642714,0.031155765,0.809,0.191,0.191,0.11,False,Slc1a3,21,Slc1a3_casecontrol.csv
Oligodendrocytes,-0.0056379368,0.009826855,0.298,0.702,0.298,0.1476,False,Slc1a3,21,Slc1a3_casecontrol.csv
Astrocytes,0.007202389,0.020081295,0.657,0.343,0.343,0.1801666666666666,False,Slc1a3,21,Slc1a3_casecontrol.csv
Neural Stem Cells,-0.0031038579,0.015166693,0.411,0.589,0.411,0.2131428571428571,False,Slc1a3,21,Slc1a3_casecontrol.csv
