,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Abhd17c,365.5044376344899,-0.12367450927781361,0.14551338382671516,-0.8499184475366993,0.3953704285213191,0.9996869425150439
Abhd4,343.8999322823153,0.05183696689095172,0.1289481268484248,0.40199860329793496,0.6876850541776407,0.9996869425150439
Abhd5,125.04070330389214,-0.21170124475551644,0.18669198873731888,-1.133959985039242,0.2568113333619282,0.9996869425150439
Abi1,1153.3873155256867,-0.010578178658299176,0.09467435792829053,-0.11173224608833826,0.9110357107282491,0.9996869425150439
Abi3bp,11.116201824116281,0.15508530557957523,0.5851990398542831,0.2650129187125667,0.7909995098373193,0.9996869425150439
Abitram,111.50702919447416,0.19510279150512105,0.20858153261746817,0.9353790292783652,0.3495930002958594,0.9996869425150439
Abl1,784.8926209033725,-0.20966065589831848,0.11238904568812567,-1.8654901339772645,0.0621127338346928,0.9996869425150439
Abracl,54.24595629764695,0.2556164716400598,0.2695478307651253,0.9483158180664241,0.3429687005221673,0.9996869425150439
Abraxas1,55.0287977464466,0.09745777800183081,0.2793489467774674,0.34887469283879846,0.7271833851019484,0.9996869425150439
Abraxas2,289.01484308074004,-0.0013994887774423286,0.1493735595149068,-0.009369052876474205,0.9925246867234521,0.9997424303603009
Acaa2,178.02616202092625,0.041803589862184146,0.18959255651268017,0.22049172515582527,0.825488216184449,0.9996869425150439
Acaca,262.98276630784784,0.137776181850089,0.14931878394308218,0.9226982581281065,0.35616447385166783,0.9996869425150439
Acacb,13.086169563006159,0.017886040568780015,0.524914934759166,0.034074169707109275,0.9728180061082651,0.9996869425150439
Acan,1.839776004625935,-0.3339907274362608,1.3911480036147168,-0.24008281402728496,0.8102660570565965,0.9996869425150439
Ace,15.406012086120114,-0.1357334794003067,0.49802429052737063,-0.2725438939064097,0.7852038456718292,0.9996869425150439
Ace2,9.491510126304895,-0.4555992642156142,0.6433451875831903,-0.7081723357986589,0.47883824338768155,0.9996869425150439
Acer1,0.5207373413963136,-2.550282315948656,3.060705966573541,-0.8332333598198246,0.4047131317166479,0.9996869425150439
Ache,76.11974521853402,0.21617021488712362,0.24891411791369666,0.8684530098131035,0.38514638594430983,0.9996869425150439
