,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Abcg2,311.15464388809517,-0.12450009689317114,0.15403830178955918,-0.8082411675977711,0.41895176308669,0.9994961017325928,165.69273096541795,1.0,165.46960453934224,165.91585739149366,160.36553752624323,171.01992440459267
Abcg8,0.29441239083541965,1.438699103626916,4.312845003874098,0.3335846992726556,0.7386929657345751,0.9994961017325928,0.08125369907465038,0.08333333333333333,0.0,0.16250739814930076,0.0,0.16250739814930076
Abhd17c,473.66776191833793,0.199096220164304,0.13360901383327137,1.490140630876545,0.136187262766325,0.9994961017325928,255.05777607106015,1.0,250.7122906767812,259.4032614653391,249.8845394406081,260.23101270151216
Abhd4,456.5019688973778,0.13049607929459914,0.14164786211432043,0.9212710827169354,0.35690891462846497,0.9994961017325928,243.03280749102984,1.0,234.5857419356356,251.47987304642405,235.24183160244596,250.82378337961373
Abhd5,186.56519004462385,0.152478469378554,0.17440891474771214,0.8742584609228192,0.3819775154191718,0.9994961017325928,93.98691737978403,1.0,94.17071060016166,93.80312415940642,85.44927296511209,102.52456179445596
Abi1,1478.918874269157,0.06532213529904524,0.11790800219745365,0.5540093469623382,0.579572448924371,0.9994961017325928,800.663446378303,1.0,790.037142823247,811.2897499333593,788.8017035130646,812.5251892435418
Abi3bp,8.039316772769377,1.4081564521444816,0.785262280447744,1.793230729663436,0.07293603836900714,0.9994961017325928,6.0105542433202475,1.0,4.782482533983284,7.238625952657212,7.61294940837852,4.408159078261977
Abitram,155.85493189693005,-0.0911882734213196,0.1973774769343507,-0.46199938735486795,0.6440817597881974,0.9994961017325928,81.00569380347918,1.0,79.70909126749466,82.30229633946368,76.31149507513476,85.69989253182358
Abl1,872.5436856175519,-0.20059612088961312,0.12547429305210925,-1.5987029375515662,0.10988662459977615,0.9994961017325928,507.99772879185565,1.0,541.8769515199897,474.11850606372155,536.364706452203,479.6307511315083
Abracl,71.71272830037897,0.27445067790318867,0.26976139181423864,1.017383088281881,0.30897122398089605,0.9994961017325928,38.26634277075587,1.0,34.604164126142685,41.92852141536906,37.14379205862796,39.38889348288378
Abraxas1,77.31506910458512,-0.028891065734177417,0.24851044836365213,-0.116256945832315,0.9074489064191332,0.9994961017325928,40.06805418133546,1.0,39.5776002055894,40.55850815708153,37.64917173481094,42.48693662786
Abraxas2,355.0616432881687,-0.03418727862735996,0.14284747263516845,-0.23932715081823008,0.8108519137281578,0.9994961017325928,196.38260742803675,1.0,196.9952951231492,195.76991973292436,197.59785673310958,195.16735812296398
Acaa2,272.97871878978,0.07791147769653996,0.1694498272713059,0.4597908357368579,0.6456663617689937,0.9994961017325928,135.93055345345252,1.0,132.84682228642006,139.014284620485,121.80656917676178,150.05453773014324
Acaca,430.1029777069113,0.41644222915295037,0.1916459658276112,2.17297675614809,0.029782066749778673,0.9994961017325928,208.03126630849565,1.0,186.4477350471303,229.614797569861,179.91550625545938,236.14702636153186
Acacb,18.2592073978278,0.07213813234592065,0.47018090252025707,0.1534263343305669,0.8780620789436359,0.9994961017325928,9.49575079699247,1.0,9.334737380497215,9.656764213487726,8.95013477857645,10.04136681540849
Acan,3.234461797062046,-0.033734264979282606,1.0487761271632718,-0.03216536313667531,0.9743401780908009,0.9994961017325928,1.5158338850989506,1.0,1.5885248279750213,1.4431429422228803,1.2562171130914366,1.7754506571064648
Ace,18.70575397465386,0.38470785002346586,0.48028451365389624,0.8009999054449941,0.4231317005889683,0.9994961017325928,10.406509810864973,1.0,9.976194598380928,10.83682502334902,10.524225132848384,10.288794488881562
Ace2,11.245623109654915,-0.387812188836296,0.5876614570821524,-0.6599244925162441,0.5093022857869304,0.9994961017325928,6.332237792658116,1.0,7.212753071128145,5.451722514188087,6.479764569250876,6.1847110160653544
Acer1,0.09813746361180654,0.3777802343010835,4.4296716587889,0.08528402631186686,0.93203559041892,0.9994961017325928,0.20312068300321284,0.3333333333333333,0.35207223328999215,0.05416913271643359,0.35207223328999215,0.05416913271643359
Ache,95.72706422160711,-0.16542776098819656,0.2398608604591372,-0.6896821793749002,0.4903940749933319,0.9994961017325928,52.37784282880384,1.0,51.759650702983265,52.9960349546244,52.127734933136416,52.62795072447125
Ackr1,103.54054416188706,-0.03121171662125837,0.21534305295109218,-0.14493951020721826,0.8847586311549314,0.9994961017325928,62.11879142098598,1.0,62.69296311576872,61.54461972620326,67.32012942753177,56.91745341444021
Ackr2,0.8402721357997933,-0.0023039983442540678,2.0421079609937887,-0.0011282451213464888,0.9990997908278614,0.9994961017325928,0.45585443394885616,0.6666666666666666,0.23024120479293853,0.6814676631047738,0.4504668785153241,0.46124198938238825
Ackr3,41.84107805847985,-0.5696504573604914,0.32529698597137935,-1.7511704132746282,0.07991656022385255,0.9994961017325928,21.817725372815044,1.0,24.055278426191432,19.580172319438653,20.611373240980246,23.02407750464984
Ackr4,0.6750419290413321,1.1474102955030583,2.5841329780998326,0.44402138172733396,0.6570271252018385,0.9994961017325928,0.47555706577121576,0.5,0.34224854979662184,0.6088655817458096,0.5814627563514465,0.36965137519098495
Acly,1609.7185922905774,0.049439379633652594,0.1110537095635278,0.4451844051672224,0.6561864956793415,0.9994961017325928,889.96807713291,1.0,890.3341929482872,889.601961317533,895.2027857853521,884.7333684804679
Acod1,1.6594987566183166,1.606985803586364,1.7358553390593603,0.9257602102126615,0.3545706096226754,0.9994961017325928,0.8646375268020412,0.6666666666666666,0.8474529374225117,0.8818221161815708,0.820450372750254,0.9088246808538284
