,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
155,Microglia,Wee1,mtDSB_at_age×sex,60,male,0.4061343512787853,-0.7466462713940188,1.523986122194856,1.7732516350268563,,"beta[60] (mtDSB effect @ age, sex=male)"
156,Microglia,Wee1,age_interaction(old-young) within sex,60-21,female,-0.32838170845829584,-1.1190763537393125,0.5632333027049147,,0.7945860301345161,age_interaction(60-21) (within sex=female)
157,Microglia,Wee1,age_interaction(old-young) within sex,60-21,male,-0.48017363642022326,-1.552836997054303,0.6258910454827072,,0.7240065781157343,age_interaction(60-21) (within sex=male)
158,Microglia,Wee1,sex_interaction(sex2-sex1) within age,21,male-female,0.418865137695153,-0.41321598908354484,1.239751809250255,,1.6568904769992896,sex_interaction(male-female) (within age=21)
159,Microglia,Wee1,sex_interaction(sex2-sex1) within age,60,male-female,0.2670732097332256,-0.7862327429607876,1.3161446606964464,,1.5118346344452385,sex_interaction(male-female) (within age=60)
160,Microglia,Map6,mtDSB_at_age×sex,21,female,0.056700601496403394,-0.7207816572021629,0.8216393388179977,1.1422680045606526,,"beta[21] (mtDSB effect @ age, sex=female)"
161,Microglia,Map6,mtDSB_at_age×sex,21,male,0.3300568569614242,-0.6675376350980843,1.2880540077643667,1.5746868549182231,,"beta[21] (mtDSB effect @ age, sex=male)"
162,Microglia,Map6,mtDSB_at_age×sex,60,female,-0.31836015150188635,-1.3297302341708401,0.7354020889356181,0.836949356864387,,"beta[60] (mtDSB effect @ age, sex=female)"
163,Microglia,Map6,mtDSB_at_age×sex,60,male,-0.21334160447732717,-1.4062817867012911,1.0679231203246573,0.9834977334444481,,"beta[60] (mtDSB effect @ age, sex=male)"
164,Microglia,Map6,age_interaction(old-young) within sex,60-21,female,-0.3750607529982898,-1.2229361553675495,0.4887290148157832,,0.7571846466613019,age_interaction(60-21) (within sex=female)
165,Microglia,Map6,age_interaction(old-young) within sex,60-21,male,-0.5433984614387514,-1.649909762133696,0.6344938861555669,,0.6936262900462298,age_interaction(60-21) (within sex=male)
166,Microglia,Map6,sex_interaction(sex2-sex1) within age,21,male-female,0.2733562554650208,-0.5662284198795186,1.0796439295170552,,1.435321655882666,sex_interaction(male-female) (within age=21)
167,Microglia,Map6,sex_interaction(sex2-sex1) within age,60,male-female,0.10501854702455918,-0.9733526466927942,1.2095995853744324,,1.2924635556199733,sex_interaction(male-female) (within age=60)
168,Microglia,Camk2d,mtDSB_at_age×sex,21,female,-0.0835704781616096,-0.722156349553618,0.5766512355124196,0.9712889994809565,,"beta[21] (mtDSB effect @ age, sex=female)"
169,Microglia,Camk2d,mtDSB_at_age×sex,21,male,-0.1232411825338206,-0.9261483304703174,0.6502038246260342,0.9556304193253616,,"beta[21] (mtDSB effect @ age, sex=male)"
