,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta
Abhd5,0.05735292337720864,0.15605208152720454,0.0,0.22069097013232458,0.0,1.0,1.0
Abi1,-0.051247343576496504,0.08718080208377937,0.0,0.12329227268544538,0.0,1.0,1.0
Abi3bp,-0.21984191439488426,0.6981453616650191,0.0,0.9873266389745394,0.0,1.0,1.0
Abitram,0.06130734932102919,0.16095850429926448,0.0,0.22762969975930794,0.0,1.0,1.0
Abl1,-0.050834186035999346,0.11690224631099375,0.0,0.1653247422048875,0.0,1.0,1.0
Abracl,0.04968563399375411,0.37129890579673025,0.0,0.5250959482720261,0.0,1.0,1.0
Abraxas1,-0.06571254429710464,0.23497441986416767,0.0,0.3323040113826559,0.0,1.0,1.0
Abraxas2,-0.0565537759067064,0.14666981844701038,0.0,0.20742244643856164,0.0,1.0,1.0
Acaa2,-0.013869226520902328,0.21471519529338604,0.0,0.3036531412314943,0.0,1.0,1.0
Acaca,-0.08636612610122471,0.10255989378033357,0.0,0.14504159273969178,0.0,1.0,1.0
Acacb,-0.12138324539188956,0.5000893880028763,0.0,0.7072331949125286,0.0,1.0,1.0
Acan,0.10519150391375312,0.17156141771151173,0.0,0.2426244837075756,0.0,1.0,1.0
Ace,0.11488297674701176,0.3000341867026169,0.0,0.42431241601042213,0.0,1.0,1.0
Ace2,-0.04066103988922569,0.9524918336299325,0.0,1.3470268691690683,0.0,1.0,1.0
Acer1,0.007872637399782003,3.558854898878266,0.0,5.032980864511574,0.0,1.0,1.0
Ache,-0.02376511934307703,0.1445845358516868,0.0,0.20447341151087445,0.0,1.0,1.0
Ackr1,-0.19552507858203397,0.18520211501549563,0.0,0.26191534283509577,0.0,1.0,1.0
Ackr2,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Ackr3,-0.056807651724352544,0.12247166811783419,0.0,0.1732010940586977,0.0,1.0,1.0
Ackr4,0.5886520401483077,1.3586277523562418,0.0,1.921389793598672,0.0,1.0,1.0
Acly,-0.07115827706614306,0.08149641141837707,0.0,0.11525333031260641,0.0,1.0,1.0
Acot6,-0.03660433736264135,0.19451013207494702,0.0,0.27507886679937205,0.0,1.0,1.0
Acox1,0.0010939449063565687,0.0804557672893481,0.0,0.1137816372717297,0.0,1.0,1.0
Acp2,-0.008732102783455044,0.11289336636706773,0.0,0.1596553298182618,0.0,1.0,1.0
Acp5,0.16089049075856485,2.309049763381001,0.0,3.2654894915677977,0.0,1.0,1.0
Acr,-0.31109251853002745,0.5181260524193441,0.0,0.7327408903502696,0.0,1.0,1.0
Acsl1,-0.0649095439238073,0.2002731757961601,0.0,0.28322904139046073,0.0,1.0,1.0
Acsl4,0.07729528634620238,0.10167557472760674,0.0,0.14379097674186056,0.0,1.0,1.0
Acsl6,-0.029478438142697638,0.09719475706956258,0.0,0.13745414363933367,0.0,1.0,1.0
Acss1,0.023583592913531796,0.11920153954763607,0.0,0.16857643388401977,0.0,1.0,1.0
Acss2,-0.07606364738475814,0.14597354751393168,0.0,0.20643777064191557,0.0,1.0,1.0
Actg2,3.1660371866429795,2.685238572511969,0.0,3.797500807453796,0.0,1.0,1.0
Actl6a,-0.22142290658212446,0.20980155390026267,0.0,0.2967042029327014,0.0,1.0,1.0
Actl6b,0.224317499161869,0.1618537929107801,0.0,0.22889582905595152,0.0,1.0,1.0
Actn1,-0.036867913909464506,0.16054068851430328,0.0,0.22703881900964226,0.0,1.0,1.0
Actn2,0.17623855055442156,0.25373875594459994,0.0,0.35884078995653,0.0,1.0,1.0
Actr1a,-0.07791386392388762,0.14689762936468564,0.0,0.20774461972799466,0.0,1.0,1.0
Actr1b,0.03115632950886672,0.127429378117914,0.0,0.18021235477912328,0.0,1.0,1.0
Actr2,0.0024594407958693507,0.07325369670149398,0.0,0.10359637136921804,0.0,1.0,1.0
Acvr1,0.01712979334171052,0.15181097614231898,0.0,0.21469314137756587,0.0,1.0,1.0
Acvr1b,0.057981143593627514,0.11901042355810629,0.0,0.16830615505964042,0.0,1.0,1.0
Acvr1c,0.1789125244813684,0.32449565151909693,0.0,0.4589061513094005,0.0,1.0,1.0
Acvr2a,-0.04048975859206975,0.13274801640828787,0.0,0.18773404518272685,0.0,1.0,1.0
Acvr2b,0.13582586775217315,0.19432637994134586,0.0,0.27481900203991827,0.0,1.0,1.0
Acvrl1,-0.4031860865655131,0.2792014683073932,0.0,0.3948505031147973,0.0,1.0,1.0
Ada,1.0342106124762098,0.7878749288335378,0.0,1.1142234098101262,0.0,1.0,1.0
Adad1,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Adad2,-0.8713810804494186,2.8802471347616216,0.0,4.073284560966133,0.0,1.0,1.0
Adam10,-0.039415177708717095,0.09159703191995154,0.0,0.12953776481431675,0.0,1.0,1.0
Adam17,-0.16605813707440048,0.18292115249682322,0.0,0.2586895747059245,0.0,1.0,1.0
Adam18,-0.08160722363624295,0.22564133771258055,0.0,0.3191050400251391,0.0,1.0,1.0
Adam28,2.162138407642706,3.6640281020508234,0.0,5.181718234836425,0.0,1.0,1.0
Adamdec1,1.625542511209489,2.4803110504013683,0.0,3.5076895263814722,0.0,1.0,1.0
Adamts1,0.10106498258782409,0.19911865534076367,0.0,0.2815963029044019,0.0,1.0,1.0
Adamts13,1.8297311993613397,3.662494983481963,0.0,5.179550077763617,0.0,1.0,1.0
Adamts14,-0.29142117170531684,1.2411652677090312,0.0,1.7552727547405451,0.0,1.0,1.0
Adamts18,0.24395973433588802,1.2511529236221357,0.0,1.7693974331891735,0.0,1.0,1.0
Adamts20,0.19568095088047455,0.2480487369709747,0.0,0.350793887953869,0.0,1.0,1.0
Adamts3,-0.08279369177731588,0.19759758037449032,0.0,0.2794451780577119,0.0,1.0,1.0
Adamts5,-0.2804917914538674,0.27857857538423275,0.0,0.3939695994949576,0.0,1.0,1.0
Adamts6,0.17259884005029458,0.16747160641681494,0.0,0.23684061710706875,0.0,1.0,1.0
Adar,0.09556573846438317,0.11307980692835679,0.0,0.15991899658861325,0.0,1.0,1.0
Adarb1,-0.08384922528197915,0.11487481085859073,0.0,0.1624575154912631,0.0,1.0,1.0
Adcy1,0.025594109886243974,0.09247293890798902,0.0,0.13077648435617675,0.0,1.0,1.0
Adcy2,-0.052678293390889926,0.14991775415969066,0.0,0.21201572117315,0.0,1.0,1.0
Adcy3,-0.06906626829558324,0.19209526666691404,0.0,0.27166373138802613,0.0,1.0,1.0
Adcy8,-0.09881033973519102,0.18342992191841953,0.0,0.25940908332206675,0.0,1.0,1.0
Adcyap1,0.07662306164487107,0.23972841179384802,0.0,0.3390271712450221,0.0,1.0,1.0
Adcyap1r1,-0.01992488189536388,0.08803668720340657,0.0,0.12450267702945547,0.0,1.0,1.0
Add2,0.048500140330474804,0.08393723451680471,0.0,0.11870517544175631,0.0,1.0,1.0
Adgra2,-0.06957590137891173,0.3043826489859422,0.0,0.43046207034696865,0.0,1.0,1.0
Adgra3,-0.1624129583156302,0.17305296614815927,0.0,0.24473385173561893,0.0,1.0,1.0
Adgrb1,0.05525050114104646,0.07723489909585057,0.0,0.10922664178986938,0.0,1.0,1.0
Adgre1,-0.3805656823883015,0.6240394309637867,0.0,0.8825250267245759,0.0,1.0,1.0
Adgre5,-0.31935804563339754,0.3270432275230147,0.0,0.46250896784531725,0.0,1.0,1.0
Adgrf1,0.007872810155501724,3.490932620607308,0.0,4.936924257393506,0.0,1.0,1.0
Adgrf5,-0.1301627759778511,0.16238598432904644,0.0,0.22964846137744235,0.0,1.0,1.0
Adgrg1,-0.16825883825729057,0.1457743987804397,0.0,0.2061561318020818,0.0,1.0,1.0
Adgrg2,-0.5526890843841378,0.4996051706807096,0.0,0.7065484082083845,0.0,1.0,1.0
Adgrg5,-0.5031568716331841,2.094460518995086,0.0,2.9620144718178416,0.0,1.0,1.0
Adgrg6,-0.49982472475134215,0.9377523424651643,0.0,1.3261820808613747,0.0,1.0,1.0
Adgrg7,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Adgrl1,0.046084007521138816,0.08376698924260972,0.0,0.11846441226605983,0.0,1.0,1.0
Adgrl2,-0.025355421910124312,0.23902025756565656,0.0,0.33802568993126186,0.0,1.0,1.0
Adgrl3,0.013762513638690639,0.08459465005105707,0.0,0.11963490140641074,0.0,1.0,1.0
Adgrv1,0.05312088818858899,0.2620375038953649,0.0,0.3705769918592178,0.0,1.0,1.0
Adh5,-0.10219479935540879,0.0942305693975224,0.0,0.13326214923211532,0.0,1.0,1.0
Adipoq,1.9733281856275917,3.7796382733145926,0.0,5.345215706985924,0.0,1.0,1.0
Adipor1,-0.019733100807186973,0.11562768048411771,0.0,0.16352223392638213,0.0,1.0,1.0
Adm,1.1296836649582755,0.22521896774054806,0.0,0.31850771868235167,0.0,1.0,1.0
Adora1,0.05726249923243683,0.08693293002639182,0.0,0.12294172866015458,0.0,1.0,1.0
Adora2a,-0.24940284858694478,0.34601202347923893,0.0,0.4893348963484975,0.0,1.0,1.0
Adora2b,-0.08494719295848613,0.16096676318298336,0.0,0.22764137958467326,0.0,1.0,1.0
Adprhl1,1.061480665502621,2.879296201466122,0.0,4.071939738202725,0.0,1.0,1.0
Adra1a,0.251663430582214,0.15971524976555024,0.0,0.22587147233624744,0.0,1.0,1.0
Adra1b,0.08533685323197576,0.2489000660297244,0.0,0.35199784905479514,0.0,1.0,1.0
Adra2a,-0.05779649762129116,0.3792865283087446,0.0,0.5363921523596334,0.0,1.0,1.0
Adrb1,0.10324490582831451,0.19668271518626898,0.0,0.2781513633007863,0.0,1.0,1.0
Adrb2,-0.9876649671554387,0.8495913755696936,0.0,1.2015036458058743,0.0,1.0,1.0
Adrb3,-0.7944278416379978,1.2142346670513338,0.0,1.7171871340475757,0.0,1.0,1.0
Adtrp,0.6352359880451316,2.128608208209286,0.0,3.0103065970282654,0.0,1.0,1.0
Aebp2,0.09504795809494973,0.11794286505571436,0.0,0.16679639934693102,0.0,1.0,1.0
Afap1l2,0.0006879967105598489,0.09205943611414863,0.0,0.1301917030970485,0.0,1.0,1.0
Afdn,-0.0021181186370019013,0.12348966219817653,0.0,0.17464075509353336,0.0,1.0,1.0
Afg3l2,0.06103218009589626,0.12097393710625834,0.0,0.17108298254934035,0.0,1.0,1.0
Afp,2.33830085310679,3.2843178933742854,0.0,4.644726907954547,0.0,1.0,1.0
Ager,0.24045036406665535,0.843023300212172,0.0,1.1922149845565788,0.0,1.0,1.0
Agl,0.07288687647783372,0.11668657397841671,0.0,0.1650197354671284,0.0,1.0,1.0
Ago1,-0.02852673872813882,0.13354155661814976,0.0,0.18885628050980194,0.0,1.0,1.0
Ago2,-0.05793837147631935,0.15218163672468954,0.0,0.21521733460019143,0.0,1.0,1.0
Ago3,0.08611638973689431,0.1325117204583195,0.0,0.18739987224554774,0.0,1.0,1.0
Agpat3,0.062220766779069944,0.08287183056998453,0.0,0.11719846673075737,0.0,1.0,1.0
Agpat4,-0.010653397438949311,0.10212587261373425,0.0,0.14442779411953002,0.0,1.0,1.0
Agps,-0.0823002453638522,0.11192588024781921,0.0,0.15828709782701286,0.0,1.0,1.0
Agr3,0.7458277924894734,1.33894232869273,0.0,1.8935504004726733,0.0,1.0,1.0
Agrn,0.08148304409474945,0.13123083930677004,0.0,0.18558843274923845,0.0,1.0,1.0
Agrp,4.55890854624288,2.4948013606514903,0.0,3.528181919660189,0.0,1.0,1.0
Agt,-0.01684131107452415,0.24914644466342858,0.0,0.35234628106005855,0.0,1.0,1.0
Agtr1a,0.15117284050879076,0.9756454829061417,0.0,1.3797710739939133,0.0,1.0,1.0
Agtr1b,0.39552184970123916,2.242607702714811,0.0,3.1715262282616554,0.0,1.0,1.0
Agtr2,-0.340537281979642,1.175501601182744,0.0,1.6624103069839256,0.0,1.0,1.0
Agtrap,0.5127340600830179,0.7342372234623347,0.0,1.0383682394195985,0.0,1.0,1.0
Agxt2,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Ahi1,0.10827940389202992,0.09222946236015724,0.0,0.13043215652011325,0.0,1.0,1.0
Ahr,-0.07002007796585338,0.4630896604458409,0.0,0.6549076783972596,0.0,1.0,1.0
Aida,0.09360603226978789,0.12925318322702908,0.0,0.18279160469955918,0.0,1.0,1.0
Aif1,-0.4026519491713156,0.2440418843045343,0.0,0.34512734257055816,0.0,1.0,1.0
Aif1l,-0.4537336015762328,0.26598277298087497,0.0,0.3761564449071574,0.0,1.0,1.0
Aifm1,-0.040599041993997366,0.2495844871576843,0.0,0.35296576669633073,0.0,1.0,1.0
Aim2,-0.05160586986924741,0.6470044431143356,0.0,0.915002458367945,0.0,1.0,1.0
Aip,0.08407189914579823,0.12608098928275308,0.0,0.17830544500108625,0.0,1.0,1.0
Aire,0.7542329339234879,2.2739982662057985,0.0,3.215919188881144,0.0,1.0,1.0
Ajuba,-0.1938458795153504,1.0937532409574078,0.0,1.546800667251494,0.0,1.0,1.0
Ak4,0.31149800662933036,0.21676839684361693,0.0,0.30655680671011626,0.0,1.0,1.0
Akap5,-0.10163835850846828,0.14777602572205473,0.0,0.20898685976972514,0.0,1.0,1.0
Akap9,0.098180119774365,0.12487063601195375,0.0,0.1765937469902592,0.0,1.0,1.0
Akip1,0.10758526965540514,0.27241183799934277,0.0,0.385248515849653,0.0,1.0,1.0
Akr1b3,-0.03227068750365656,0.14604275658196222,0.0,0.20653564704456356,0.0,1.0,1.0
Akt1,-0.148250757654562,0.10670816601573535,0.0,0.15090813559541272,0.0,1.0,1.0
Akt1s1,-0.015542782737479346,0.12314137913051854,0.0,0.17414820845570653,0.0,1.0,1.0
Akt2,-0.07999058044222072,0.16114314440022526,0.0,0.22789082029424462,0.0,1.0,1.0
Akt3,-0.16500395132351658,0.16559339675393747,0.0,0.23418442752884722,0.0,1.0,1.0
Aldh1a2,0.5670780693838975,0.8912584497127093,0.0,1.2604297871633325,0.0,1.0,1.0
Aldh1a3,-2.1347001384595115,1.6163982562341046,0.0,2.285932336162492,0.0,1.0,1.0
Aldh1l1,-0.31276917352000094,0.21678520025909515,0.0,0.30658057032817976,0.0,1.0,1.0
Aldh1l2,-0.24047462226325841,0.22401036855817807,0.0,0.31679850132717097,0.0,1.0,1.0
Aldh2,0.06815015440135253,0.3419790452880068,0.0,0.4836314038937021,0.0,1.0,1.0
Aldh3a1,-0.57691276426216,2.174999900229523,0.0,3.07591435706472,0.0,1.0,1.0
Aldh4a1,0.04459777233295832,0.16721373366624306,0.0,0.23647592996584355,0.0,1.0,1.0
Aldh9a1,-0.06684000837759997,0.17126901638795874,0.0,0.24221096579015114,0.0,1.0,1.0
Aldoa,0.02794154778367964,0.07552632533877045,0.0,0.10681035361029191,0.0,1.0,1.0
Aldoc,-0.022936240053474256,0.10757461332919002,0.0,0.15213347713718206,0.0,1.0,1.0
Alg13,-0.07194171576093453,0.21397192525550288,0.0,0.30260199866341436,0.0,1.0,1.0
Alk,0.4223195445841001,0.23774610609040517,0.0,0.33622376763444367,0.0,1.0,1.0
Alkbh5,0.1206066613194044,0.15730319140780302,0.0,0.22246030669348596,0.0,1.0,1.0
Alox12,-0.8036456490121241,1.4050405047728014,0.0,1.987027337533235,0.0,1.0,1.0
Alox12b,-0.6487624908151456,1.4356896507703103,0.0,2.0303717754780655,0.0,1.0,1.0
Alox12e,-0.8350271469761584,2.9032669135968714,0.0,4.105839444397772,0.0,1.0,1.0
Alox15,-0.5215600264960262,1.7763890866274128,0.0,2.5121935383600418,0.0,1.0,1.0
Alox5,-0.6432194678836681,1.0227646542137578,0.0,1.4464076451049253,0.0,1.0,1.0
Alpl,-0.04648400792303055,0.1543332307121351,0.0,0.21826014799795732,0.0,1.0,1.0
Als2,-0.051866316492508974,0.1714695720398771,0.0,0.24249459431310463,0.0,1.0,1.0
Alx1,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Ambra1,0.01439646275994346,0.10377937087516062,0.0,0.14676619378619954,0.0,1.0,1.0
Amd1,-0.03518027567977127,0.10697319874001011,0.0,0.15128294846855478,0.0,1.0,1.0
Amelx,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Amer1,-0.15346963365022784,0.23542688060245825,0.0,0.3329438874951878,0.0,1.0,1.0
Amfr,0.007282606638110506,0.08742073598411765,0.0,0.12363159046137684,0.0,1.0,1.0
Amh,-0.3797395904448267,0.8556430146969082,0.0,1.210061955934169,0.0,1.0,1.0
Amhr2,0.6129524570983194,1.5026294674438152,0.0,2.1250389720805045,0.0,1.0,1.0
Amigo3,-0.2427889551418617,0.9355523358276452,0.0,1.3230708016372843,0.0,1.0,1.0
Amy1,-0.026280957784421844,0.2469415573546906,0.0,0.34922809952453693,0.0,1.0,1.0
Amy2a5,0.21927893030755008,0.2853181931258931,0.0,0.40350085831042404,0.0,1.0,1.0
Anapc11,0.08201989623888319,0.1521006248733679,0.0,0.2151027665413394,0.0,1.0,1.0
Anapc15,0.12312041297531824,0.39607370744928866,0.0,0.5601328087741776,0.0,1.0,1.0
Anapc16,0.05663597848003834,0.12881601206806353,0.0,0.18217335131747173,0.0,1.0,1.0
Anapc2,-0.0905407612999556,0.10030985282700636,0.0,0.14185955430760155,0.0,1.0,1.0
Anapc4,-0.0738062766834637,0.10428086066162438,0.0,0.14747540744360818,0.0,1.0,1.0
Anapc5,-0.000697763116758586,0.10518469464674987,0.0,0.14875362172350637,0.0,1.0,1.0
Ang,-2.3792642593336035,2.2136744912149036,0.0,3.1306084881554774,0.0,1.0,1.0
Angpt1,0.47778593464347546,0.4344357727124512,0.0,0.6143849617499839,0.0,1.0,1.0
Angpt2,0.05557633802165383,0.5739241074359043,0.0,0.811651256508729,0.0,1.0,1.0
Angpt4,2.3115083224903707,3.3060623503076108,0.0,4.675478213856094,0.0,1.0,1.0
Angptl3,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Angptl4,0.6372823138443316,0.6644580727219871,0.0,0.9396856180717225,0.0,1.0,1.0
Ank,0.05437569023893973,0.08918776350966935,0.0,0.12613054475309862,0.0,1.0,1.0
Ank1,-0.12485156893305045,0.15565793136668146,0.0,0.22013355762970133,0.0,1.0,1.0
Ank2,-0.02070999292513209,0.09516831836559447,0.0,0.13458832654086422,0.0,1.0,1.0
Ankle2,-0.055793429464224775,0.09813795986523086,0.0,0.13878803382503596,0.0,1.0,1.0
Ankrd11,-0.030526981897938336,0.11158711511080623,0.0,0.15780801157578989,0.0,1.0,1.0
Ankrd13a,0.015181122446256348,0.13579112249651146,0.0,0.1920376470844328,0.0,1.0,1.0
Ankrd13b,0.1443322458724133,0.15123277174318567,0.0,0.21387543687448776,0.0,1.0,1.0
Ankrd13d,0.07038857416817051,0.21477838756902132,0.0,0.3037425086047349,0.0,1.0,1.0
Anks6,0.07309315808230299,0.2818316436539599,0.0,0.3985701327613313,0.0,1.0,1.0
Anln,-0.0675820134903002,0.21922866793221987,0.0,0.310036155450733,0.0,1.0,1.0
Ano1,-0.4407439560555904,0.523162024876269,0.0,0.7398628308985901,0.0,1.0,1.0
Ano5,-0.220210097056137,0.5182298843362682,0.0,0.7328877308553908,0.0,1.0,1.0
Anp32e,-0.03364077160809313,0.13154603573544585,0.0,0.18603418781348333,0.0,1.0,1.0
Anxa2,-0.012856872822070585,0.3117426543521242,0.0,0.440870689754962,0.0,1.0,1.0
Anxa6,-0.02928897334599695,0.09630796755982676,0.0,0.13620003388769508,0.0,1.0,1.0
Aox3,0.5967039111152114,1.0459207667812846,0.0,1.4791553335497596,0.0,1.0,1.0
Ap1b1,0.11938368514937486,0.10525439765351033,0.0,0.1488521966610052,0.0,1.0,1.0
Ap1g1,0.061126414575992875,0.10349991411518467,0.0,0.1463709822461447,0.0,1.0,1.0
Ap1s1,-0.06666427789528101,0.14441565690660002,0.0,0.20423458061633348,0.0,1.0,1.0
Ap2a1,0.22050713092050842,0.1428791505917286,0.0,0.20206163254717038,0.0,1.0,1.0
Ap2a2,0.07170120479170071,0.10500380302409584,0.0,0.14849780233742935,0.0,1.0,1.0
Ap2b1,-0.06649969884392126,0.08281232147093583,0.0,0.11711430815579811,0.0,1.0,1.0
Ap3b1,-0.017506668953048796,0.15866343077466694,0.0,0.2243839756541787,0.0,1.0,1.0
Ap3b2,0.042639625674302996,0.11314380829426442,0.0,0.1600095081882902,0.0,1.0,1.0
Ap3m2,0.036773704668517246,0.10663569310743035,0.0,0.15080564342558317,0.0,1.0,1.0
Ap3s2,-0.01031854791037111,0.16621678434692042,0.0,0.23506603071745882,0.0,1.0,1.0
Ap4s1,-0.0033917385922594525,0.1221035965642725,0.0,0.17268056227572703,0.0,1.0,1.0
Ap5z1,-0.1043146255128851,0.21839851998288534,0.0,0.30886214896200787,0.0,1.0,1.0
Apaf1,-0.08546897683367621,0.20563875004612947,0.0,0.29081710926468723,0.0,1.0,1.0
Apba1,0.09505568924363254,0.1294378871524131,0.0,0.18305281549586083,0.0,1.0,1.0
Apba3,-0.0014468882856222356,0.16608777450428064,0.0,0.23488358324831804,0.0,1.0,1.0
Apc,-0.0605563948718397,0.11301855292991085,0.0,0.15983237035326142,0.0,1.0,1.0
Apc2,0.04056715419231172,0.11462495541313425,0.0,0.16210416653166576,0.0,1.0,1.0
Apex1,-0.21927785475270853,0.5830558886706158,0.0,0.8245655453794822,0.0,1.0,1.0
Aph1c,-0.295774436969777,0.3750286570238656,0.0,0.5303706130417186,0.0,1.0,1.0
Apip,0.028150392250135728,0.13764769564534665,0.0,0.19466323801105326,0.0,1.0,1.0
Apln,-0.08873058612883085,0.20272494349728384,0.0,0.2866963645251782,0.0,1.0,1.0
Aplnr,2.134978917245334,2.2079693126327173,0.0,3.122540147228789,0.0,1.0,1.0
Aplp1,-0.03152900569703224,0.07223426323012797,0.0,0.10215467472807514,0.0,1.0,1.0
Aplp2,0.03819933036308018,0.08859481980158511,0.0,0.12529199571940208,0.0,1.0,1.0
Apmap,-0.02310018745436104,0.1118134391850724,0.0,0.15812808215110866,0.0,1.0,1.0
Apoa1,1.6051643328938474,2.489538361076525,0.0,3.5207389142825094,0.0,1.0,1.0
Apoa4,0.6284641229003788,0.9672523098925903,0.0,1.367901334886805,0.0,1.0,1.0
Apob,-0.39940057693574166,1.7802288375351298,0.0,2.5176237661698697,0.0,1.0,1.0
Apobec1,-0.5529784089048119,0.7427033522949127,0.0,1.0503411536354283,0.0,1.0,1.0
Apobec3,-0.32856130401324946,0.21458017458067322,0.0,0.3034621931083745,0.0,1.0,1.0
Apod,-0.20185562105381888,0.18564532244658807,0.0,0.2625421327950912,0.0,1.0,1.0
App,0.03288701258631924,0.09721606106774716,0.0,0.13748427204249908,0.0,1.0,1.0
Appbp2,-0.062454784460242184,0.10400238304732878,0.0,0.147081580624654,0.0,1.0,1.0
Appl1,-0.08937437062268899,0.09627902137006938,0.0,0.13615909779356117,0.0,1.0,1.0
Appl2,0.03156553814015317,0.09625690747051666,0.0,0.13612782401689674,0.0,1.0,1.0
Aqp2,0.7404308848756082,1.6743931663160438,0.0,2.3679495245489783,0.0,1.0,1.0
Aqp3,1.211915639146732,1.6706043407391447,0.0,2.3625913160326615,0.0,1.0,1.0
Aqp4,-0.0877961517804338,0.14742154410994898,0.0,0.2084855470662733,0.0,1.0,1.0
Aqp5,-0.14353820228708872,0.6530135305786857,0.0,0.9235005913575152,0.0,1.0,1.0
Aqp6,-0.28795139398181585,1.8265644854189313,0.0,2.583152267828486,0.0,1.0,1.0
Ar,0.20786722515444797,0.17662038420249784,0.0,0.24977894273071918,0.0,1.0,1.0
Araf,0.03939015604984167,0.09812087423141505,0.0,0.1387638710899719,0.0,1.0,1.0
Arap1,-0.18497777190350972,0.16020733296842876,0.0,0.22656738307557422,0.0,1.0,1.0
Arc,0.9381772603018764,0.3450827820263915,0.0,0.48802075048316135,0.0,1.0,1.0
Arf2,0.0862123230258995,0.15165016742204576,0.0,0.21446572350440762,0.0,1.0,1.0
Arf6,0.1005238352074045,0.25996359457814916,0.0,0.36764404117567934,0.0,1.0,1.0
Arfip2,0.024897675889744245,0.10659460827845449,0.0,0.15074754070323773,0.0,1.0,1.0
Arg1,-0.06471815331812342,1.948200021729711,0.0,2.7551708929457157,0.0,1.0,1.0
Arg2,0.40406143622120166,0.861182790615256,0.0,1.2178963821704045,0.0,1.0,1.0
Arhgap17,0.12927977110064412,0.16603231934395177,0.0,0.23480515780847738,0.0,1.0,1.0
Arhgap31,-0.01060097956194025,0.09133800689806558,0.0,0.12917144811537165,0.0,1.0,1.0
Arhgap35,-0.01643733381290205,0.09633179152271479,0.0,0.1362337260591208,0.0,1.0,1.0
Arhgap44,0.026610666410268168,0.11143358807262581,0.0,0.15759089155620418,0.0,1.0,1.0
Arhgef1,-0.029235593483509608,0.13036207517301057,0.0,0.1843598147287725,0.0,1.0,1.0
Arhgef11,0.035316729909120895,0.12843615748647375,0.0,0.1816361558164579,0.0,1.0,1.0
