,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Abcc6,5.379490346830973,0.27547832284977347,0.8488578461529002,0.3245282164714221,0.7455381635430567,0.9996638889971189
Abcc8,31.344423195862863,0.09487250697413156,0.36302686301432957,0.26133742882379124,0.7938323051418053,0.9996638889971189
Abcc9,5.938430291007289,0.3979400909153353,0.795765547811665,0.500072027508178,0.617024361588852,0.9996638889971189
Abcd2,58.75029745836429,-0.153300377619014,0.26225322950847674,-0.5845509620847545,0.5588496889120227,0.9996638889971189
Abcd3,1141.5771162926148,0.00987509503976297,0.08435696224514937,0.11706318929627886,0.9068099798092154,0.9996638889971189
Abcf1,194.92270398075405,0.06786686242125882,0.14766405032619717,0.4596031483041239,0.64580109893622,0.9996638889971189
Abcg2,305.6417349443725,-0.08552091641902719,0.13389170526117414,-0.638731998014417,0.5229972929402882,0.9996638889971189
Abcg8,0.0,,,,,
Abhd17c,289.66009366014777,-0.12457174413527809,0.13274471819573863,-0.9384308907235834,0.34802301718442386,0.9996638889971189
Abhd4,488.51972802379254,-0.023779360764838123,0.10856518871187777,-0.21903301644826872,0.8266243287566702,0.9996638889971189
Abhd5,192.195207906649,0.05735292337720864,0.15605208152720454,0.36752424457222194,0.7132280107079784,0.9996638889971189
Abi1,961.0027368586321,-0.051247343576496504,0.08718080208377937,-0.5878283102654712,0.5566475396456563,0.9996638889971189
Abi3bp,7.362727801355437,-0.21984191439488426,0.6981453616650191,-0.3148941846015842,0.7528419971779088,0.9996638889971189
Abitram,169.13795999707204,0.06130734932102919,0.16095850429926448,0.38088915890422664,0.7032854971782431,0.9996638889971189
Abl1,367.72222794665066,-0.050834186035999346,0.11690224631099375,-0.43484353500586914,0.663676002332214,0.9996638889971189
Abracl,28.73939828484733,0.04968563399375411,0.37129890579673025,0.13381572964008356,0.893548288612565,0.9996638889971189
Abraxas1,72.47664863682378,-0.06571254429710464,0.23497441986416767,-0.2796582893367341,0.7797396821465801,0.9996638889971189
Abraxas2,209.73086374131296,-0.0565537759067064,0.14666981844701038,-0.38558564062815986,0.6998035695032184,0.9996638889971189
Acaa2,106.11045193046272,-0.013869226520902328,0.21471519529338604,-0.064593595725498,0.9484975839333054,0.9996638889971189
Acaca,556.1305089968508,-0.08636612610122471,0.10255989378033357,-0.8421042857767262,0.3997295825376722,0.9996638889971189
Acacb,17.102941863071536,-0.12138324539188956,0.5000893880028763,-0.2427230977178652,0.8082199130485729,0.9996638889971189
Acan,139.01405177972802,0.10519150391375312,0.17156141771151173,0.6131419599868159,0.5397824776981344,0.9996638889971189
Ace,42.19666460895652,0.11488297674701176,0.3000341867026169,0.38289962223831386,0.7017941914696569,0.9996638889971189
Ace2,3.8929917246751913,-0.04066103988922569,0.9524918336299325,-0.04268912178938801,0.9659493512203844,0.9996638889971189
Acer1,0.31632051363534974,0.007872637399782003,3.558854898878266,0.0022121265472957105,0.9982349798208929,0.9996638889971189
Ache,229.88139204928666,-0.02376511934307703,0.1445845358516868,-0.16436833443553758,0.8694411899706277,0.9996638889971189
Ackr1,142.37521523350094,-0.19552507858203397,0.18520211501549563,-1.055738907547976,0.291087516262424,0.9996638889971189
Ackr2,0.14266900655756345,-0.9539182051565599,4.427946903845501,-0.21543126552130032,0.8294310958674215,0.9996638889971189
Ackr3,321.241450102956,-0.056807651724352544,0.12247166811783419,-0.46384321041251725,0.6427600824556805,0.9996638889971189
Ackr4,2.1527175554636133,0.5886520401483077,1.3586277523562418,0.4332695538770056,0.6648189540957927,0.9996638889971189
Acly,1470.3628498829073,-0.07115827706614306,0.08149641141837707,-0.8731461401513587,0.38258342736823103,0.9996638889971189
Acod1,0.0,,,,,
Acot6,109.34303065652104,-0.03660433736264135,0.19451013207494702,-0.18818730403482153,0.8507298245967948,0.9996638889971189
Acox1,1787.0769813438644,0.0010939449063565687,0.0804557672893481,0.013596848842698203,0.9891516184983573,0.9996638889971189
Acp2,417.3498891290698,-0.008732102783455044,0.11289336636706773,-0.07734823634422419,0.9383465187600012,0.9996638889971189
Acp5,0.6906589680476012,0.16089049075856485,2.309049763381001,0.0696782257836586,0.9444497729583277,0.9996638889971189
Acr,14.075873232144469,-0.31109251853002745,0.5181260524193441,-0.6004185990598393,0.5482272955279915,0.9996638889971189
Acsl1,102.20322453897559,-0.0649095439238073,0.2002731757961601,-0.3241050313691177,0.7458585178786221,0.9996638889971189
Acsl4,535.5031491512574,0.07729528634620238,0.10167557472760674,0.7602148948091002,0.44712614310786214,0.9996638889971189
Acsl6,1186.9232015009454,-0.029478438142697638,0.09719475706956258,-0.30329247205793036,0.7616669826123975,0.9996638889971189
Acss1,374.5697937007226,0.023583592913531796,0.11920153954763607,0.19784637852019665,0.8431652584998791,0.9996638889971189
Acss2,213.30688583019528,-0.07606364738475814,0.14597354751393168,-0.5210782958980883,0.6023122298100538,0.9996638889971189
Actc1,0.0,,,,,
Actg2,0.8205284114799901,3.1660371866429795,2.685238572511969,1.1790524756544207,0.23837728090356203,0.9996638889971189
Actl6a,103.13140290160771,-0.22142290658212446,0.20980155390026267,-1.0553921191993956,0.2912460256816455,0.9996638889971189
Actl6b,161.42140378403644,0.224317499161869,0.1618537929107801,1.3859267375063695,0.16576927549089993,0.9996638889971189
Actn1,165.31224825550757,-0.036867913909464506,0.16054068851430328,-0.22964841032296796,0.8183649860367728,0.9996638889971189
Actn2,66.89564647260715,0.17623855055442156,0.25373875594459994,0.6945669371568157,0.48732673839486707,0.9996638889971189
Actr1a,212.23218924568744,-0.07791386392388762,0.14689762936468564,-0.5303956521344529,0.5958376399089295,0.9996638889971189
Actr1b,447.5248698989824,0.03115632950886672,0.127429378117914,0.24449879587450307,0.8068445344325105,0.9996638889971189
Actr2,2175.431322546176,0.0024594407958693507,0.07325369670149398,0.033574289170572216,0.9732166249755964,0.9996638889971189
Acvr1,187.40465503355009,0.01712979334171052,0.15181097614231898,0.11283632960538878,0.9101603153982536,0.9996638889971189
Acvr1b,366.26958883534684,0.057981143593627514,0.11901042355810629,0.4871938260543917,0.6261209801696188,0.9996638889971189
Acvr1c,36.6776829236328,0.1789125244813684,0.32449565151909693,0.5513556919601408,0.5813898679843705,0.9996638889971189
Acvr2a,417.8168949278197,-0.04048975859206975,0.13274801640828787,-0.30501215526668957,0.7603568946085215,0.9996638889971189
Acvr2b,112.69966118271005,0.13582586775217315,0.19432637994134586,0.6989574333303069,0.4845786330548082,0.9996638889971189
Acvrl1,48.276974784477375,-0.4031860865655131,0.2792014683073932,-1.4440686469514417,0.1487196664081103,0.9996638889971189
Ada,5.983242206572861,1.0342106124762098,0.7878749288335378,1.312658360645358,0.18929809454136193,0.9996638889971189
Adad1,0.13161711324018377,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189
Adad2,0.4589895201929132,-0.8713810804494186,2.8802471347616216,-0.30253691425737217,0.7622427975126007,0.9996638889971189
Adam10,858.7599544884988,-0.039415177708717095,0.09159703191995154,-0.43031064306933875,0.6669696860676744,0.9996638889971189
Adam17,125.90110264259052,-0.16605813707440048,0.18292115249682322,-0.9078126548392723,0.3639772112151687,0.9996638889971189
Adam18,84.29615029052127,-0.08160722363624295,0.22564133771258055,-0.3616678772760749,0.7176002345171276,0.9996638889971189
Adam28,0.3948513397205513,2.162138407642706,3.6640281020508234,0.5900987512711809,0.5551244459765405,0.9996638889971189
Adamdec1,0.7411099203428542,1.625542511209489,2.4803110504013683,0.6553784901076988,0.5122240969108574,0.9996638889971189
Adamts1,237.29512010809466,0.10106498258782409,0.19911865534076367,0.5075615964504457,0.6117608286738048,0.9996638889971189
Adamts13,0.3247370720930001,1.8297311993613397,3.662494983481963,0.4995859946876431,0.6173666214489497,0.9996638889971189
Adamts14,3.359695329819599,-0.29142117170531684,1.2411652677090312,-0.23479642823330701,0.8143667401147077,0.9996638889971189
Adamts18,2.7399730018213915,0.24395973433588802,1.2511529236221357,0.19498794250475412,0.8454023869399688,0.9996638889971189
Adamts20,71.54097291617225,0.19568095088047455,0.2480487369709747,0.7888810613188975,0.4301815257444136,0.9996638889971189
Adamts3,119.69662051890047,-0.08279369177731588,0.19759758037449032,-0.4190015465796892,0.6752150020624006,0.9996638889971189
Adamts5,50.36900106660945,-0.2804917914538674,0.27857857538423275,-1.0068677789273486,0.31399831777247555,0.9996638889971189
Adamts6,148.59424642224917,0.17259884005029458,0.16747160641681494,1.0306155398110808,0.302721145842236,0.9996638889971189
Adar,416.7578373828453,0.09556573846438317,0.11307980692835679,0.8451176302850439,0.3980451657088284,0.9996638889971189
Adarb1,667.9821330972169,-0.08384922528197915,0.11487481085859073,-0.7299182880500787,0.4654401329146719,0.9996638889971189
Adcy1,941.1157283813515,0.025594109886243974,0.09247293890798902,0.2767740507491627,0.7819536075773303,0.9996638889971189
Adcy2,259.11546910713184,-0.052678293390889926,0.14991775415969066,-0.3513812869340186,0.7253023193406893,0.9996638889971189
Adcy3,125.6948853210132,-0.06906626829558324,0.19209526666691404,-0.35954174974723113,0.7191898510791662,0.9996638889971189
Adcy8,132.66689268013798,-0.09881033973519102,0.18342992191841953,-0.5386816867268631,0.5901065121502032,0.9996638889971189
Adcyap1,110.67007459423449,0.07662306164487107,0.23972841179384802,0.31962444948228447,0.7492530378744955,0.9996638889971189
Adcyap1r1,1589.1475603746674,-0.01992488189536388,0.08803668720340657,-0.22632475764709245,0.8209488440900989,0.9996638889971189
Add2,1158.8428554681288,0.048500140330474804,0.08393723451680471,0.577814370579064,0.5633894520344456,0.9996638889971189
Adgra2,41.1681922459369,-0.06957590137891173,0.3043826489859422,-0.22858037937019554,0.8191950758473531,0.9996638889971189
Adgra3,147.08867318698344,-0.1624129583156302,0.17305296614815927,-0.9385158886937562,0.3479793555462486,0.9996638889971189
Adgrb1,2585.0920268641876,0.05525050114104646,0.07723489909585057,0.715356681860607,0.47438867219966985,0.9996638889971189
Adgre1,9.515217994291326,-0.3805656823883015,0.6240394309637867,-0.6098423649296385,0.5419662346850516,0.9996638889971189
Adgre5,39.49087499187035,-0.31935804563339754,0.3270432275230147,-0.9765010211407716,0.32881624210844085,0.9996638889971189
Adgrf1,0.3357889654103798,0.007872810155501724,3.490932620607308,0.002255216875005772,0.9982005987994643,0.9996638889971189
Adgrf5,184.60571178284056,-0.1301627759778511,0.16238598432904644,-0.8015641036734998,0.422805149021664,0.9996638889971189
Adgrg1,458.7786728953494,-0.16825883825729057,0.1457743987804397,-1.1542413459767797,0.24840123592428232,0.9996638889971189
Adgrg2,16.275595446543324,-0.5526890843841378,0.4996051706807096,-1.1062517300033177,0.2686175781478387,0.9996638889971189
Adgrg5,0.8872828792741148,-0.5031568716331841,2.094460518995086,-0.2402322063700665,0.8101502475276318,0.9996638889971189
Adgrg6,4.464102246037184,-0.49982472475134215,0.9377523424651643,-0.5330029071827243,0.5940315678671291,0.9996638889971189
Adgrg7,0.18208711307340317,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189
Adgrl1,1108.3980672149128,0.046084007521138816,0.08376698924260972,0.5501452056211336,0.5822197828029452,0.9996638889971189
Adgrl2,87.39606794237847,-0.025355421910124312,0.23902025756565656,-0.10608064006106019,0.9155183714578624,0.9996638889971189
Adgrl3,1137.713568363999,0.013762513638690639,0.08459465005105707,0.16268775425377704,0.87076428922201,0.9996638889971189
Adgrv1,60.4670887794879,0.05312088818858899,0.2620375038953649,0.2027224630020933,0.839351964778973,0.9996638889971189
Adh5,822.7188447725763,-0.10219479935540879,0.0942305693975224,-1.0845185379734719,0.27813495207921124,0.9996638889971189
Adipoq,0.36417422614680633,1.9733281856275917,3.7796382733145926,0.5220944553239115,0.6016045668229626,0.9996638889971189
Adipor1,379.05849005134047,-0.019733100807186973,0.11562768048411771,-0.1706606992769128,0.8644905668297511,0.9996638889971189
Adm,114.79504433117042,1.1296836649582755,0.22521896774054806,5.015934831295691,5.2776216766356e-07,0.0008796036127726001
Adora1,1325.3388359456064,0.05726249923243683,0.08693293002639182,0.6586974488844745,0.5100900715177202,0.9996638889971189
Adora2a,61.14849129042691,-0.24940284858694478,0.34601202347923893,-0.7207924339713275,0.4710372311765495,0.9996638889971189
Adora2b,187.64451723592927,-0.08494719295848613,0.16096676318298336,-0.527731261278579,0.5976858724945765,0.9996638889971189
Adprhl1,0.559022807269451,1.061480665502621,2.879296201466122,0.36865976656452387,0.7123813411655303,0.9996638889971189
Adra1a,170.52881468299427,0.251663430582214,0.15971524976555024,1.575700698284207,0.11509479645994049,0.9996638889971189
Adra1b,66.84009274170637,0.08533685323197576,0.2489000660297244,0.34285588828162294,0.7317068785404715,0.9996638889971189
Adra2a,25.304948362900053,-0.05779649762129116,0.3792865283087446,-0.15238215256156948,0.8788855328792077,0.9996638889971189
Adrb1,116.5899389991356,0.10324490582831451,0.19668271518626898,0.5249312616542643,0.5996309763967667,0.9996638889971189
Adrb2,5.252517229937099,-0.9876649671554387,0.8495913755696936,-1.1625176473727266,0.2450252605879597,0.9996638889971189
Adrb3,2.6894943892300645,-0.7944278416379978,1.2142346670513338,-0.6542621975760243,0.5129428960879627,0.9996638889971189
Adtrp,0.8452294378985458,0.6352359880451316,2.128608208209286,0.2984278579755785,0.7653766295918996,0.9996638889971189
Aebp2,359.6766122950965,0.09504795809494973,0.11794286505571436,0.805881373579068,0.42031125216878573,0.9996638889971189
Afap1l2,1130.2716390960331,0.0006879967105598489,0.09205943611414863,0.007473396966137952,0.9940371474498902,0.9996638889971189
Afdn,319.9766672484325,-0.0021181186370019013,0.12348966219817653,-0.01715219395128589,0.9863152002718942,0.9996638889971189
Afg3l2,393.22051593143937,0.06103218009589626,0.12097393710625834,0.5045068512756447,0.6139052488825466,0.9996638889971189
Afp,0.4563541853331839,2.33830085310679,3.2843178933742854,0.7119593562559914,0.47648994459233895,0.9996638889971189
Ager,5.695274827452992,0.24045036406665535,0.843023300212172,0.2852238651127897,0.7754726376945229,0.9996638889971189
Agl,400.363300907351,0.07288687647783372,0.11668657397841671,0.6246380709687772,0.5322086269237716,0.9996638889971189
Ago1,269.25545378837404,-0.02852673872813882,0.13354155661814976,-0.21361694030352288,0.8308457878664843,0.9996638889971189
Ago2,237.7894561637686,-0.05793837147631935,0.15218163672468954,-0.3807185460959074,0.7034121056683087,0.9996638889971189
Ago3,308.52537622199475,0.08611638973689431,0.1325117204583195,0.6498775311273808,0.5157713328818585,0.9996638889971189
Agpat3,1946.9200968728207,0.062220766779069944,0.08287183056998453,0.7508071964999622,0.45276869777255513,0.9996638889971189
Agpat4,637.0126217660251,-0.010653397438949311,0.10212587261373425,-0.10431634184652837,0.916918309747748,0.9996638889971189
Agps,455.04330607611377,-0.0823002453638522,0.11192588024781921,-0.7353102355025326,0.4621505759781096,0.9996638889971189
Agr3,2.341986076737365,0.7458277924894734,1.33894232869273,0.5570275705733039,0.5775085921438277,0.9996638889971189
Agrn,324.52858301640214,0.08148304409474945,0.13123083930677004,0.62091383797578,0.5346563158196589,0.9996638889971189
Agrp,8.022667820496022,4.55890854624288,2.4948013606514903,1.8273633396818296,0.06764515757217703,0.9996638889971189
