,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Actg2,0.8205284114799901,3.1660371866429795,2.685238572511969,1.1790524756544207,0.23837728090356203,0.9996638889971189,0.3886085369301318,0.4166666666666667,0.12155539364377123,0.6556616802164925,0.5263191837433391,0.2508978901169247
Actl6a,103.13140290160771,-0.22142290658212446,0.20980155390026267,-1.0553921191993956,0.2912460256816455,0.9996638889971189,63.87056061945221,1.0,66.4524446595967,61.288676579307726,65.89987439764117,61.84124684126325
Actl6b,161.42140378403644,0.224317499161869,0.1618537929107801,1.3859267375063695,0.16576927549089993,0.9996638889971189,101.44458606569741,1.0,97.14906778488138,105.74010434651346,103.11988163798861,99.76929049340623
Actn1,165.31224825550757,-0.036867913909464506,0.16054068851430328,-0.22964841032296796,0.8183649860367728,0.9996638889971189,109.62963453294118,1.0,111.74107187609779,107.5181971897846,105.59332744511772,113.66594162076466
Actn2,66.89564647260715,0.17623855055442156,0.25373875594459994,0.6945669371568157,0.48732673839486707,0.9996638889971189,40.17383194231373,1.0,38.57918136511605,41.76848251951142,42.73581231936364,37.61185156526383
Actr1a,212.23218924568744,-0.07791386392388762,0.14689762936468564,-0.5303956521344529,0.5958376399089295,0.9996638889971189,140.22062387688337,1.0,146.64432819437084,133.7969195593959,135.52974325292192,144.91150450084479
Actr1b,447.5248698989824,0.03115632950886672,0.127429378117914,0.24449879587450307,0.8068445344325105,0.9996638889971189,280.3690850113781,1.0,280.5377354806908,280.20043454206547,285.7045731578847,275.03359686487164
Actr2,2175.431322546176,0.0024594407958693507,0.07325369670149398,0.033574289170572216,0.9732166249755964,0.9996638889971189,1412.1459053942535,1.0,1393.0192106880986,1431.2726001004087,1389.7037458045643,1434.588064983943
Acvr1,187.40465503355009,0.01712979334171052,0.15181097614231898,0.11283632960538878,0.9101603153982536,0.9996638889971189,114.32301456100767,1.0,114.24120952674572,114.4048195952696,119.73198287555506,108.91404624646026
Acvr1b,366.26958883534684,0.057981143593627514,0.11901042355810629,0.4871938260543917,0.6261209801696188,0.9996638889971189,224.8486943677392,1.0,225.63616761557412,224.06122111990433,233.98123524753217,215.7161534879463
Acvr1c,36.6776829236328,0.1789125244813684,0.32449565151909693,0.5513556919601408,0.5813898679843705,0.9996638889971189,22.780634996089518,1.0,22.588412574163396,22.97285741801564,23.41349695661401,22.147773035565024
Acvr2a,417.8168949278197,-0.04048975859206975,0.13274801640828787,-0.30501215526668957,0.7603568946085215,0.9996638889971189,263.1466631047002,1.0,269.947852723127,256.3454734862734,266.7728705312059,259.5204556781945
Acvr2b,112.69966118271005,0.13582586775217315,0.19432637994134586,0.6989574333303069,0.4845786330548082,0.9996638889971189,59.6401134733236,1.0,59.43381694965828,59.84640999698892,72.02906654751236,47.251160399134825
Acvrl1,48.276974784477375,-0.4031860865655131,0.2792014683073932,-1.4440686469514417,0.1487196664081103,0.9996638889971189,31.52275906007766,1.0,35.91365976469882,27.13185835545651,30.82549096327446,32.22002715688087
Ada,5.983242206572861,1.0342106124762098,0.7878749288335378,1.312658360645358,0.18929809454136193,0.9996638889971189,4.680528135732852,1.0,3.1953213188065264,6.165734952659179,3.8248119010564117,5.536244370409293
Adad1,0.13161711324018377,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189,0.1353200864820979,0.25,0.12155539364377123,0.14908477932042452,0.08441353108384779,0.186226641880348
Adad2,0.4589895201929132,-0.8713810804494186,2.8802471347616216,-0.30253691425737217,0.7622427975126007,0.9996638889971189,0.40327781316600153,0.5833333333333334,0.4309215835223372,0.37563404280966584,0.29227627302212816,0.5142793533098748
Adam10,858.7599544884988,-0.039415177708717095,0.09159703191995154,-0.43031064306933875,0.6669696860676744,0.9996638889971189,538.5746029306949,1.0,530.9044246813977,546.244781179992,548.661026059328,528.4881798020615
Adam17,125.90110264259052,-0.16605813707440048,0.18292115249682322,-0.9078126548392723,0.3639772112151687,0.9996638889971189,75.75613370418823,1.0,77.99239515027305,73.51987225810345,80.44262287622034,71.06964453215615
Adam18,84.29615029052127,-0.08160722363624295,0.22564133771258055,-0.3616678772760749,0.7176002345171276,0.9996638889971189,52.458837869176726,1.0,55.61607170290864,49.3016040354448,53.83726524984468,51.08041048850878
Adam28,0.3948513397205513,2.162138407642706,3.6640281020508234,0.5900987512711809,0.5551244459765405,0.9996638889971189,0.23891264960428518,0.25,0.22458470595702695,0.2532405932515434,0.2532405932515434,0.22458470595702695
Adamdec1,0.7411099203428542,1.625542511209489,2.4803110504013683,0.6553784901076988,0.5122240969108574,0.9996638889971189,0.2922374365318925,0.3333333333333333,0.22265883121272212,0.3618160418510629,0.47294545227175666,0.11152942079202842
Adamts1,237.29512010809466,0.10106498258782409,0.19911865534076367,0.5075615964504457,0.6117608286738048,0.9996638889971189,140.76788583671083,1.0,141.08730744379702,140.44846422962465,151.59177523628543,129.9439964371362
Adamts13,0.3247370720930001,1.8297311993613397,3.662494983481963,0.4995859946876431,0.6173666214489497,0.9996638889971189,0.13556571668129266,0.25,0.0,0.27113143336258533,0.20646018512600853,0.06467124823657673
Adamts14,3.359695329819599,-0.29142117170531684,1.2411652677090312,-0.23479642823330701,0.8143667401147077,0.9996638889971189,1.887424466452164,0.6666666666666666,1.4409384508162955,2.333910482088033,2.146428451154564,1.628420481749764
Adamts18,2.7399730018213915,0.24395973433588802,1.2511529236221357,0.19498794250475412,0.8454023869399688,0.9996638889971189,1.671824883763671,0.8333333333333334,1.8311207402870275,1.512529027240315,1.7491938852810254,1.5944558822463168
Adamts20,71.54097291617225,0.19568095088047455,0.2480487369709747,0.7888810613188975,0.4301815257444136,0.9996638889971189,46.97471336810337,1.0,44.177740222922516,49.77168651328423,45.72811861298419,48.22130812322255
Adamts3,119.69662051890047,-0.08279369177731588,0.19759758037449032,-0.4190015465796892,0.6752150020624006,0.9996638889971189,71.41929319675337,1.0,71.24518064563543,71.5934057478713,76.43173436299374,66.40685203051301
Adamts5,50.36900106660945,-0.2804917914538674,0.27857857538423275,-1.0068677789273486,0.31399831777247555,0.9996638889971189,31.06998599402358,1.0,31.411443697293922,30.728528290753246,32.173226758921864,29.966745229125298
Adamts6,148.59424642224917,0.17259884005029458,0.16747160641681494,1.0306155398110808,0.302721145842236,0.9996638889971189,88.28435400418046,1.0,85.34590130821982,91.2228067001411,94.92468549202705,81.64402251633385
