,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Gsk3b,974.2634638965241,0.06657685205623409,0.11918693283265493,0.5585918730680962,0.5764402876904113,0.9998186074426537,107.90954633328545,1.0,104.60814266100827,111.21095000556262,113.14286392714284,102.67622873942808
Gsta1,4.024071520679462,1.0130896325241079,1.1110447606713083,0.9118351198668048,0.3618555196388382,0.9998186074426537,0.4330689073902895,1.0,0.4158543173805067,0.4502834974000724,0.4404279750624562,0.4257098397181229
Gstk1,525.7120442878037,0.20126347475765333,0.20135957636940618,0.9995227363233198,0.3175415306544189,0.9998186074426537,65.60319546365844,1.0,64.39351651971155,66.8128744076053,76.05423297096529,55.15215795635155
Gstp1,16215.36248911391,0.6810760102145703,0.2779902012928084,2.450000061322988,0.014285619037571322,0.4594117409859391,1588.6725556133924,1.0,1235.235061756133,1942.1100494706523,1452.4504197861613,1724.8946914406235
Gsx1,24.68624958202774,-0.6317463159318462,0.4959260482116967,-1.2738720182372263,0.20270877659286335,0.9998186074426537,2.9272288488796208,1.0,2.9510534522560357,2.903404245503206,3.260979205774469,2.593478491984772
Gsx2,7.8235622441880315,-0.13176001357125383,0.6986262987617491,-0.18859870263227474,0.8504073497151888,0.9998186074426537,0.7414226578653554,1.0,0.8295056608466661,0.6533396548840448,0.6601538114558261,0.8226915042748848
Gtf2a1,7291.0645342794005,0.0355910349396662,0.12054451256107451,0.2952522199766979,0.7678012132360221,0.9998186074426537,759.3017194782939,1.0,742.0027715590868,776.6006673975008,752.4356865738572,766.1677523827306
Gtf2a2,1968.8803229513821,0.05591916734603128,0.12529791334066764,0.4462896935401855,0.6553880001259842,0.9998186074426537,215.5401473774394,1.0,211.98961418348176,219.09068057139703,223.6807542967531,207.39954045812567
Gtf2b,842.5969088407059,-0.025376479112283547,0.14596455995793625,-0.17385370201915099,0.8619804388591923,0.9998186074426537,86.68272454875354,1.0,85.82250276408622,87.54294633342086,84.8349978667109,88.5304512307962
Gtf2e1,650.5926978574284,0.07351132555390988,0.13451447268418712,0.5464938016483897,0.5847265472671705,0.9998186074426537,65.77060475738647,1.0,62.99958781929906,68.54162169547386,62.96932001365715,68.57188950111578
Gtf2e2,328.6172960062195,0.020116829328536083,0.17241908237477252,0.11667403080599782,0.9071183701114536,0.9998186074426537,34.07414756576804,1.0,32.4923421887165,35.65595294281957,33.552953044232524,34.59534208730355
Gtf2h1,1045.8975607419704,0.09416234613282963,0.1267437839634711,0.7429346291252296,0.4575212588999641,0.9998186074426537,109.46567706030059,1.0,105.74857275082736,113.18278136977379,108.75829295295675,110.1730611676444
Gtf2i,8435.7884303117,0.03340978435466859,0.1136831439135646,0.2938851196802814,0.7688456890544343,0.9998186074426537,892.1493155118336,1.0,863.9314814058151,920.3671496178525,895.6048057766375,888.6938252470301
Gtpbp2,1573.2743879856982,0.20732172714598734,0.17153977086044148,1.2085927718456424,0.22681933471950755,0.9998186074426537,163.26897980463892,1.0,150.23445168442598,176.30350792485186,160.2584593207551,166.27950028852277
Gtse1,26.60101950022064,0.4745386742061625,0.46216883102787315,1.0267647715463168,0.3045312414082788,0.9998186074426537,3.0930264376489904,1.0,2.808460025721832,3.37759284957615,3.361409414946387,2.8246434603515937
Gucy1a1,1350.1842356266704,0.07973492390714701,0.14186353904422433,0.5620536780933582,0.5740794473431241,0.9998186074426537,132.63266808720383,1.0,126.6802395009445,138.5850966734631,122.86981110734024,142.39552506706735
Gucy2e,11.947822819266475,0.16127366648525382,0.6236230590215492,0.2586076062329841,0.7959380139257909,0.9998186074426537,1.2824229235106976,1.0,1.2606377023992752,1.30420814462212,1.2990602285219357,1.2657856184994594
