,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Erg,27.126293065384782,0.16656135998720875,0.45859059999301116,0.36320273461721003,0.7164534449863145,0.9999115808203716
Erg28,710.6021579449765,-0.004292281073552702,0.1255898899379169,-0.03417696341381073,0.9727360363397978,0.9999115808203716
Ermn,70236.26916931226,-0.34456014726874606,0.17194034102729275,-2.0039517498342794,0.04507522926188395,0.9999115808203716
Ern1,266.61753732005445,0.1418864123281834,0.20648074071249992,0.68716535904791,0.4919785310956244,0.9999115808203716
Ern2,7.889525324622336,0.1115990275734295,0.7227872332955064,0.1544009390766356,0.8772936132624555,0.9999115808203716
Ero1l,2871.6279796115664,0.3487533620426901,0.20020172593279395,1.7420097674870378,0.08150673514327002,0.9999115808203716
Ero1lb,505.83862806500605,0.26656571679794966,0.134504545519764,1.9818342626850527,0.04749779334211602,0.9999115808203716
Erp44,1855.7672952303726,-0.0017093726179212949,0.10899066317572761,-0.015683661041361336,0.9874867619955926,0.9999115808203716
Esam,116.29562117551605,0.1585507143921573,0.21132164583014582,0.7502814667627363,0.45308520229126037,0.9999115808203716
Esd,1136.219329977248,-0.13037680192114906,0.15204325838124064,-0.8574980785681136,0.3911696762524963,0.9999115808203716
Espl1,30.640571994058174,0.2055083477909397,0.4726808781288906,0.4347718668130715,0.6637280274591864,0.9999115808203716
Espn,2.547913405654043,1.5993552475680586,1.2821115807373242,1.2474384223628119,0.21223678563939086,0.9999115808203716
Esr1,73.4607547086925,0.2930174091999301,0.30658975244368325,0.9557312560658849,0.33920802700434116,0.9999115808203716
Esr2,5.005359524983212,-0.3194650772977812,0.9522046918716677,-0.3355004234119408,0.7372476253694131,0.9999115808203716
Esrra,313.02564756341707,0.03140746417919008,0.180287296766935,0.17420786013443776,0.8617021084994201,0.9999115808203716
Esrrb,56.46542109368756,-0.32712493413169114,0.4480783091457084,-0.7300619723266162,0.4653523045753135,0.9999115808203716
Esrrg,228.15133351264748,0.0698123000728607,0.24969451627851263,0.2795908420951909,0.7797914339553598,0.9999115808203716
Ess2,745.5272932296438,0.12943659011125017,0.15189080683978162,0.8521686914717839,0.39412047091409597,0.9999115808203716
Esyt2,770.4133651311091,0.10265935968579115,0.13991732061250445,0.7337144481926026,0.46312279091937736,0.9999115808203716
Esyt3,49.56932985754161,0.739893906439464,0.4357645519895786,1.6979212812545585,0.08952262007729597,0.9999115808203716
Etfbkmt,113.89928124474164,-0.012104596773870905,0.236745985665916,-0.0511290476154147,0.9592226896075419,0.9999115808203716
Etnk1,8910.360354658835,-0.03866630705046577,0.09658761070290216,-0.4003236726644069,0.6889181342603612,0.9999115808203716
Etnppl,1393.9646957064804,-0.00389738185486685,0.19835067554764074,-0.01964894671574113,0.9843234175246817,0.9999115808203716
Ets1,226.69295738621227,-0.09562921703892313,0.22085789776068482,-0.43298980026760986,0.6650221798062321,0.9999115808203716
Ets2,822.1199423616936,0.27346443778999874,0.144079828172723,1.8980064125435339,0.057695237302482445,0.9999115808203716
Etv1,954.4957172167364,-0.39854146844866994,0.23316677574766842,-1.7092549621219146,0.08740373194691485,0.9999115808203716
Etv2,2.6589469527207776,-0.28245638421331637,1.2273641922524008,-0.23013249530684593,0.8179888148567569,0.9999115808203716
Etv3,510.5217135684563,0.14124203174860717,0.14956463880943566,0.944354446832633,0.34498855147728136,0.9999115808203716
Etv4,30.765964444284617,0.27338880432762264,0.4553379696989299,0.6004085372199197,0.5482339995688882,0.9999115808203716
Etv5,2692.8417845728727,0.01200691582452543,0.2218937941993671,0.054111093407765425,0.9568466539365649,0.9999115808203716
Etv6,472.65586673088325,0.02725263448961882,0.16772346633806887,0.16248551907869302,0.8709235308452551,0.9999115808203716
Eva1a,217.52773132797336,0.10965241265506283,0.23029397660621168,0.4761410362137331,0.633973903422547,0.9999115808203716
Evl,3594.5428213797645,0.06267670632142143,0.12651645812145904,0.4954035803092922,0.6203152679426281,0.9999115808203716
Evpl,49.70029159765918,-0.1244789663271226,0.35598103276864995,-0.34967864821050954,0.7265798795215379,0.9999115808203716
Evx1,1.0404025878930392,0.061920839518322425,2.1289390268347166,0.02908530434071926,0.976796556277666,0.9999115808203716
Evx2,2.516571840038318,1.0767275322693017,1.3416576861887173,0.8025352095048851,0.42224342971992024,0.9999115808203716
Ewsr1,2000.6991772937938,0.016873072266070786,0.11846504220177799,0.14243081294253357,0.8867397252751624,0.9999115808203716
Exoc3l2,5.074093542183117,0.09336486083606868,0.9704281547353287,0.0962099670959492,0.9233538149414854,0.9999115808203716
Exoc4,3599.827147197704,0.14671733725967173,0.15473245087423287,0.948200176696769,0.3430275572290956,0.9999115808203716
Exosc9,1012.8906739325092,0.02025356194635441,0.13214606365144607,0.15326647942973198,0.8781881338554497,0.9999115808203716
Exph5,269.2700932701523,-0.28857154088695824,0.24357811032274257,-1.1847186945682397,0.23612868844350532,0.9999115808203716
Ext1,640.956569377245,-0.03250493488924886,0.13244734373347072,-0.2454177937661014,0.8061329527890609,0.9999115808203716
Ext2,1666.0302986999784,0.10388590831296024,0.11840115627485684,0.8774061975526586,0.38026604810491427,0.9999115808203716
Extl1,306.2874696578444,0.018280475858205407,0.21161091379441874,0.08638720721165166,0.9311586160787233,0.9999115808203716
Eya1,108.8910531227525,0.012710945456409252,0.27196026726276373,0.04673824446615996,0.9627218489619573,0.9999115808203716
Eya2,36.322611968700436,-0.4030411962401833,0.4495504778093518,-0.8965426935017241,0.3699629889756829,0.9999115808203716
Eya3,609.4240689569423,0.062134879383332654,0.12113299617211354,0.5129475976557818,0.6079879771247128,0.9999115808203716
Eya4,69.96389757137749,-0.20414057515346112,0.2888061768644828,-0.7068428292281661,0.47966415542348406,0.9999115808203716
Ezh1,1879.7002264599626,-0.010776212486273713,0.13048487164688471,-0.08258591475214125,0.9341808014117634,0.9999115808203716
Ezh2,370.1153996608047,0.013803066816205528,0.1538368346082622,0.08972536942374267,0.9285054553652212,0.9999115808203716
Ezr,409.6235847325379,-0.12527495683304543,0.1617482093354205,-0.7745059889550939,0.4386316279400041,0.9999115808203716
F11r,72.14979226015323,0.15627883139414092,0.2567726503518655,0.6086272474112254,0.5427715397418791,0.9999115808203716
F13a1,35.9020789739915,-0.5202787564160033,0.4288991952171292,-1.2130560332541855,0.22510839814728067,0.9999115808203716
F2r,77.3866236671034,0.0981666367938088,0.24614856549838407,0.3988105175224076,0.6900328267851028,0.9999115808203716
F2rl1,4.329768806851714,-0.5629903999169695,1.0189902343893376,-0.5524983271840279,0.5806069801996152,0.9999115808203716
F2rl2,13.096485204663116,0.7764804372434558,0.5597916339040975,1.387088320395444,0.16541483302058757,0.9999115808203716
F2rl3,8.328495922833365,-0.15179466557549307,0.7392182259435697,-0.20534486332738328,0.8373026949310914,0.9999115808203716
F3,336.57351514135127,0.15508544282773098,0.15866618455968276,0.9774322314367819,0.32835521267638523,0.9999115808203716
F8,93.30517299552321,-0.06644874200628766,0.2887049973893349,-0.2301613848293654,0.8179663668050421,0.9999115808203716
F9,9.23058121924592,-0.36077868902452453,0.6984894194940294,-0.5165127473024069,0.6054963381606555,0.9999115808203716
Faah,1068.2174078506562,-0.1081311940049326,0.1331638074368559,-0.8120163885837121,0.41678222768284334,0.9999115808203716
