,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Taf4,-0.00771588579660862,0.13847492213998666,0.0,0.1958331129389275,0.0,1.0,1.0,137.8299345239347,1.0,136.57480237446558,139.08506667340376,134.31914278991664,141.3407262579527
Taf5l,0.06952905759583723,0.1655606899130165,0.0,0.23413817307083443,0.0,1.0,1.0,96.93548806094854,1.0,99.03738749985403,94.83358862204307,96.76531357195545,97.10566254994166
Taf6l,0.07849032929644134,0.5140407823554505,0.0,0.7269634460199544,0.0,1.0,1.0,4.208325602684932,1.0,4.449589554468223,3.9670616509016408,4.151772225252171,4.2648789801176905
Taf9,0.07136939506799757,0.11743653742511827,0.0,0.1660803439447378,0.0,1.0,1.0,219.97665517360096,1.0,215.37392113299833,224.57938921420362,208.4275245337889,231.525785813413
Tagln,0.44744131514097,0.4758606624240238,0.0,0.6729686025998995,0.0,1.0,1.0,15.03095868644417,1.0,13.432319082437104,16.629598290451238,17.072317430365825,12.989599942522517
Tal1,-0.0703782238966452,1.621406188605704,0.0,2.2930146220418552,0.0,1.0,1.0,0.8719395723997124,0.8333333333333334,0.6908019039128366,1.0530772408865887,0.6325172641426654,1.1113618806567598
Tap1,-0.12373682182512516,0.2599545932565595,0.0,0.367631311384608,0.0,1.0,1.0,45.07225642642211,1.0,42.777960835466786,47.36655201737742,48.05843823371717,42.08607461912703
Tardbp,0.002027389680483707,0.09545959040647833,0.0,0.13500024741142225,0.0,1.0,1.0,705.9834033551175,1.0,707.2744022012621,704.692404508973,751.6451008704116,660.3217058398233
Tas1r1,-0.14137985518952634,1.1763299536918035,0.0,1.6635817743366634,0.0,1.0,1.0,0.7779782727058381,1.0,0.9423444579322403,0.6136120874794363,0.7539825619830198,0.8019739834286564
Tas1r2,-0.44913928227838884,1.3869267638567486,0.0,1.9614106394644408,0.0,1.0,1.0,0.5651279833438076,0.8333333333333334,0.7017084594035379,0.4285475072840774,0.7085559616711287,0.42170000501648675
Tas1r3,-0.34761380372037715,0.5019490605692047,0.0,0.7098631690774035,0.0,1.0,1.0,4.2401802646892195,1.0,4.746382286504605,3.733978242873834,4.893655212349324,3.5867053170291157
Tbc1d1,0.16077906292520094,0.14758247588483664,0.0,0.2087131389649362,0.0,1.0,1.0,79.07100240218266,1.0,76.88406556192281,81.25793924244249,74.40477213516249,83.7372326692028
Tbc1d22a,0.143247474989903,0.16478896635601964,0.0,0.23304679115012664,0.0,1.0,1.0,72.70238340533253,1.0,70.64337147219833,74.76139533846676,70.00798290820993,75.39678390245514
Tbck,0.15886182185634895,0.11114582447210758,0.0,0.157183932369594,0.0,1.0,1.0,213.68008383770828,1.0,209.06090276620515,218.29926490921147,204.20998891595616,223.15017875946046
Tbk1,0.0007290579869851202,0.12193524392187668,0.0,0.1724424756855895,0.0,1.0,1.0,141.25510590205496,1.0,140.89294610668657,141.6172656974234,138.54788632498182,143.9623254791281
Tbl1xr1,-0.019873289751344468,0.11653482078647262,0.0,0.16480512404494765,0.0,1.0,1.0,192.55223393652113,1.0,194.14425736084704,190.9602105121952,187.8900071586214,197.21446071442088
Tbp,-0.05712850898272394,0.13738800102118845,0.0,0.19429597435149334,0.0,1.0,1.0,99.09725181192148,1.0,102.97707176520326,95.2174318586397,102.42616994161125,95.7683336822317
Tbpl1,0.16000737378547653,0.1201508105059958,0.0,0.16991890574769902,0.0,1.0,1.0,133.36390806254158,1.0,128.54691188991674,138.18090423516648,131.78561907313784,134.94219705194539
Tbpl2,-1.8825725360064305,3.901687152006,0.0,5.517818886503741,0.0,1.0,1.0,0.07480861959372248,0.25,0.10394761888375477,0.045669620303690185,0.10394761888375477,0.045669620303690185
Tbr1,0.19316475408846112,0.1831062576050669,0.0,0.2589513528604673,0.0,1.0,1.0,90.31768124051041,1.0,86.26091052316998,94.37445195785085,91.2251316625855,89.41023081843535
Tbx1,-0.3462317548743003,0.6192877613378256,0.0,0.8758051510956254,0.0,1.0,1.0,3.5239311757078675,1.0,3.7214602130175756,3.3264021383981603,3.813043178745209,3.234819172670528
Tbx18,-1.1264550998646916,0.7675662072420574,0.0,1.0855025403009952,0.0,1.0,1.0,3.3938507887601848,1.0,3.64459399364155,3.1431075838788196,2.9001434896441207,3.8875580878762483
Tbx2,0.06953996351706605,0.4422084183503512,0.0,0.6253771426266221,0.0,1.0,1.0,11.106259694593307,1.0,10.61196042241042,11.600558966776196,11.504439388961876,10.708080000224742
Tbx20,-1.7964658135608997,2.5510627776979087,0.0,3.6077475786855624,0.0,1.0,1.0,0.16770225433961558,0.4166666666666667,0.18683720695668596,0.1485673017225452,0.24186272008610357,0.09354178859312762
Tbx21,0.6347929118553722,0.9774177341596743,0.0,1.3822774157525917,0.0,1.0,1.0,1.025980930356299,1.0,0.9145730535469528,1.137388807165645,1.5201817044534653,0.5317801562591324
Tbx3,-0.2443783140285198,0.47237798999214836,0.0,0.6680433600134384,0.0,1.0,1.0,5.391513173912711,1.0,5.490278794114034,5.292747553711389,5.4367311515283125,5.34629519629711
Tbx4,-1.43800797656046,1.4775555696414744,0.0,2.089579125746877,0.0,1.0,1.0,0.6937459444515639,0.8333333333333334,0.9170741991576613,0.47041768974546666,0.7251263522493274,0.6623655366538005
Tbx5,-1.9149209663154765,4.315716636668699,0.0,6.103344998936073,0.0,1.0,1.0,0.17399318334528888,0.4166666666666667,0.3044340820858051,0.0435522846047726,0.10695625286041129,0.2410301138301664
Tbx6,-0.24213033906962578,0.41892518112636673,0.0,0.5924496727685131,0.0,1.0,1.0,7.4314392198461166,1.0,7.687321615505326,7.17555682418691,6.96650144379078,7.896376995901455
Tbxa2r,0.16710044674634628,1.3300168460047592,0.0,1.8809278618046188,0.0,1.0,1.0,0.8701124353586088,0.8333333333333334,0.6995314780092956,1.040693392707922,0.8956951292243027,0.8445297414929148
Tcaf1,0.10445100857403869,0.1050603372935722,0.0,0.14857775386806166,0.0,1.0,1.0,393.0939808413605,1.0,391.5457456896436,394.64221599307757,389.8664721928631,396.3214894898579
Tcam1,-0.3829815111731163,1.0054215397181638,0.0,1.4218807773714668,0.0,1.0,1.0,0.9114301296866656,1.0,0.8799359918924234,0.9429242674809077,1.0574610740394108,0.7653991853339203
Tceal5,0.03275826115922412,0.12082720448142997,0.0,0.17087547128126548,0.0,1.0,1.0,345.52961046837305,1.0,342.0825902728108,348.97663066393534,350.01240603414476,341.0468149026014
Tceal9,0.016828689077371395,0.16369464343583418,0.0,0.23149918483478463,0.0,1.0,1.0,82.58880194623882,1.0,80.22407968774291,84.9535242047347,84.06625410015906,81.11134979231856
Tcf12,-0.07454277933800076,0.10616523010911313,0.0,0.15014030827276825,0.0,1.0,1.0,187.45467657459426,1.0,185.2493783676829,189.6599747815056,186.99374247799142,187.9156106711971
Tcf21,-2.7533408080743724,3.2817448574923143,0.0,4.641088085713791,0.0,1.0,1.0,0.11519474578072929,0.25,0.18683720695668596,0.0435522846047726,0.18683720695668596,0.0435522846047726
Tcf3,-0.06366125189261292,0.1330700652940891,0.0,0.18818949108477412,0.0,1.0,1.0,108.57323328345173,1.0,109.12755182454622,108.01891474235731,116.5195343519668,100.62693221493673
Tcf7,0.07338374727897815,0.2955472917641606,0.0,0.41796698833551404,0.0,1.0,1.0,18.2770870514865,1.0,18.163527673299438,18.39064642967357,19.610951920009793,16.943222182963215
Tcf7l1,0.044466216022707096,0.15051722706142276,0.0,0.2128635038810547,0.0,1.0,1.0,76.24438523369476,1.0,79.39218556807866,73.09658489931086,78.54794848454323,73.94082198284627
Tcf7l2,0.12019894709043535,0.12003070063252061,0.0,0.1697490447356555,0.0,1.0,1.0,229.12142674333708,1.0,223.15315552739568,235.08969795927854,231.62985319039532,226.6130002962789
Tcof1,0.10379259566649267,0.20581901344973297,0.0,0.2910720402148628,0.0,1.0,1.0,44.99269526386549,1.0,43.593417537676686,46.391972990054306,44.81665878161098,45.168731746119995
Tcp1,0.04391120617686074,0.10699840884523125,0.0,0.15131860094126737,0.0,1.0,1.0,384.36591502339616,1.0,370.839910197358,397.8919198494345,364.94336978143315,403.7884602653592
Tctn1,0.23491404293325185,0.3020457561282974,0.0,0.4271572047738746,0.0,1.0,1.0,19.224981641433313,1.0,18.423727600841065,20.02623568202556,23.12058364949084,15.329379633375785
Tdg,-0.0936598560252328,0.12511385788122417,0.0,0.17693771465644717,0.0,1.0,1.0,146.09241217080935,1.0,150.48939777736953,141.69542656424923,147.11469024827076,145.07013409334797
