,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Cry1,258.89576044269523,0.06561161305553942,0.16289369016643196,0.40278793480890906,0.6871042376889597,0.9995545441197232
Cry2,2271.90196534337,-0.14591989855163418,0.09698008086299546,-1.504637831327202,0.13241721440753387,0.9995545441197232
Cryaa,0.958759026232228,-0.6385417871314545,1.9787925604618006,-0.32269263584780955,0.7469280297872357,0.9995545441197232
Cryab,1549.351152205162,0.16768478926295466,0.12158523791959207,1.3791541813147545,0.16784722152083142,0.9995545441197232
Cryba2,3.8988616747362,0.6415695746942849,0.9450280995626168,0.678889416083204,0.49720793234185634,0.9995545441197232
Cryba4,5.001515555345864,0.32887178203611617,0.8732868715532285,0.3765907776114677,0.7064777424445514,0.9995545441197232
Crybb3,15.488034664695833,0.002366289024173911,0.5046541860669059,0.00468893172692358,0.996258787477534,0.9995545441197232
Crygb,0.0,,,,,
Crygc,2.14802193469976,0.8173417610697135,1.2735431130889194,0.6417857021638546,0.5210123343561769,0.9995545441197232
Crygd,0.1870388275202205,0.6251663949739725,4.421828840890808,0.14138186200079791,0.8875682823623244,0.9995545441197232
Cryge,0.17601102082711775,0.6251663949739719,4.421828840890808,0.14138186200079778,0.8875682823623245,0.9995545441197232
Crygf,0.5400016852681909,0.7332431032308976,2.7666021022639242,0.2650338126436328,0.7909834141930622,0.9995545441197232
Crygs,0.8262130601201941,1.6581125567655837,2.223591131673166,0.7456912978052391,0.4558539171977972,0.9995545441197232
Crym,512.8538631572611,0.5869189345610123,0.23471261236119687,2.500585412333142,0.012398823096528141,0.9995545441197232
Cs,4848.262649999158,-0.007452218695930431,0.1098788865598018,-0.06782211696215674,0.9459272375077304,0.9995545441197232
Csde1,2536.389865446087,0.11969687741212406,0.10644241300615845,1.1245223969621843,0.26079147450629614,0.9995545441197232
Cse1l,633.4721564821353,0.040878317754874334,0.13329898722993463,0.3066663791253051,0.7590973230294342,0.9995545441197232
Csf1,980.5983960246875,-0.032133086373979,0.17004112145136638,-0.18897244442821093,0.8501144138136083,0.9995545441197232
Csf1r,534.5933635478751,0.25529266543833334,0.15452202321840144,1.6521442065090144,0.09850515704402345,0.9995545441197232
